ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-4, T3,SHT-TNOR-SI-ZONE2,96642.970014,136472.88879,97551.769618,136472.88879,20,main,non-critical
ZON-4, T3,SHT-TNOR-SI-ZONE2,97551.769618,136472.88879,98750.0,136472.88879,25,main,non-critical
ZON-4, T4,SHT-TNOR-SR-ZONE2,96642.970014,136322.88879,97401.769618,136322.88879,20,main,non-critical
ZON-4, T4,SHT-TNOR-SR-ZONE2,97401.769618,136322.88879,98600,136322.88879,25,main,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,96642.970014,136622.88879,97764.890244,136622.88879,20,error,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,97764.890244,136622.88879,98900.0,136622.88879,25,error,non-critical
ZON-4, T3,SHT-TNOR-SI-ZONE2,104650.877102,134673.594675,104650.877102,133882.31078,25,branch,non-critical
ZON-4, T4,SHT-TNOR-SR-ZONE2,104800.877102,134823.594675,104800.877102,133882.31078,25,branch,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,104500.877102,134523.594675,104500.877102,133882.31078,40,branch,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,104830.877102,133882.31078,106222.64031,133882.31078,20,error,non-critical
ZON-4, T3,SHT-TNOR-SI-ZONE2,104650.877102,134673.594675,106516.789314,134673.594675,20,main,non-critical
ZON-4, T3,SHT-TNOR-SI-ZONE2,98750.0,134673.594675,103553.913106,134673.594675,40,main,non-critical
ZON-4, T3,SHT-TNOR-SI-ZONE2,103553.913106,134673.594675,104650.877102,134673.594675,32,main,non-critical
ZON-4, T4,SHT-TNOR-SR-ZONE2,104800.877102,134823.594675,106516.789314,134823.594675,20,main,non-critical
ZON-4, T4,SHT-TNOR-SR-ZONE2,98600.0,134823.594675,103403.913106,134823.594675,32,main,non-critical
ZON-4, T4,SHT-TNOR-SR-ZONE2,103403.913106,134823.594675,104800.877102,134823.594675,25,main,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,104500.877102,134523.594675,106516.789314,134523.594675,20,main,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,98900.0,134523.594675,103703.913106,134523.594675,50,main,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,103703.913106,134523.594675,104500.877102,134523.594675,40,main,non-critical
ZON-4, B1,SHT-TNOR-SO-ZONE2,94279.938831,133040.474414,98900.0,133040.474414,25,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,235096.862563,80147.87983,235096.862563,84831.326879,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,235246.862563,80147.87983,235246.862563,84681.326879,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,234946.862563,80147.87983,234946.862563,84981.326879,25,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,238495.460838,78813.227197,238495.460838,80022.984818,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,238345.460838,78663.227197,238345.460838,80022.984818,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,238645.460838,78963.227197,238645.460838,80022.984818,40,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,237075.288006,80022.984818,238315.460838,80022.984818,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,234015.24348,78813.227197,238495.460838,78813.227197,32,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,238495.460838,78813.227197,240175.0,78813.227197,32,main,critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,234015.24348,78663.227197,238345.460838,78663.227197,25,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,238345.460838,78663.227197,240025.0,78663.227197,25,main,critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,234015.24348,78963.227197,238645.460838,78963.227197,32,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,238645.460838,78963.227197,240325.0,78963.227197,40,main,critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,245877.76429,60396.080532,245877.76429,63353.55973,25,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,245727.76429,60246.080532,245727.76429,63473.55973,25,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,246027.76429,60546.080532,246027.76429,63233.55973,25,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,245877.76429,63353.55973,246551.398994,63353.55973,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,245727.76429,63473.55973,246671.398994,63473.55973,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,246027.76429,63233.55973,246431.398994,63233.55973,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,246551.412588,63323.55973,246551.412588,62920.44027,25,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,246671.398994,63443.55973,246671.398994,62891.625984,25,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,246958.101741,104375.0,246958.101741,106298.900712,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,247108.101741,104225.0,247108.101741,106448.900712,20,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,247258.101741,104075.0,247258.101741,106598.900712,20,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,246758.301621,107098.900712,246407.942733,107098.900712,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,245684.907876,110744.954993,245684.907876,109082.218074,63,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,245804.907876,110894.954993,245804.907876,109232.218074,63,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,245924.907876,111044.954993,245924.907876,109382.218074,50,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,248704.45763,114362.574459,248704.45763,113863.964931,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,248854.45763,114512.574459,248854.45763,113863.964931,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,244025.0,114512.574459,248854.45763,114512.574459,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,244178.337579,114362.574459,248704.45763,114362.574459,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,244328.337579,114212.574459,248554.45763,114212.574459,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,249272.136361,90272.90665,249272.136361,90752.235718,20,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,249122.136361,90272.90665,249122.136361,90902.235718,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,238292.357162,107433.909851,238292.357162,108846.595197,20,main,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,238292.357162,108846.595197,238292.357162,111044.954993,25,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,238142.357162,107583.909851,238142.357162,108696.595197,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,238142.357162,108696.595197,238142.357162,110894.954993,25,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,237992.357162,107733.909851,237992.357162,108546.595197,20,main,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,237992.357162,108546.595197,237992.357162,110744.954993,32,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,234944.302383,86518.512004,234944.302383,87166.410072,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,235094.302383,86578.512004,235094.302383,87016.410072,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,234794.302383,86458.512004,234794.302383,87316.410072,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,235756.648756,84831.326879,235756.648756,87166.410072,25,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,235906.648756,84981.326879,235906.648756,87316.410072,25,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-ZONE2,235606.648756,84681.326879,235606.648756,87016.410072,25,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,235096.862563,84831.326879,235756.648756,84831.326879,20,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,235756.648756,84831.326879,237848.633963,84831.326879,25,main,non-critical
ZON-2, T3,SHT-TNOR-SI-ZONE2,237848.633963,84831.326879,240175.0,84831.326879,20,main,critical
