ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-5, B1,SHT-TNOR-SO-ZONE2,201626.253814,60123.862455,202140.851478,60123.862455,20,error,critical
ZON-5, B1,SHT-TNOR-SO-ZONE2,185430.494598,67788.27063,188003.650314,67788.27063,160,error,critical
ZON-5, T3,SHT-TNOR-SI-ZONE2,182117.66356,67588.27063,184134.200535,67588.27063,20,error,non-critical
ZON-5, T3,SHT-TNOR-SI-ZONE2,185262.279876,67588.27063,187803.650314,67588.27063,125,error,critical
ZON-5, T4,SHT-TNOR-SR-ZONE2,185262.279876,67388.27063,187603.650314,67388.27063,110,error,critical
ZON-5, B1,SHT-TNOR-SO-,185630.494598,68388.27063,188603.650314,68388.27063,160,error,critical
ZON-5, T3,SHT-TNOR-SI-,181593.677003,68188.27063,184134.200535,68188.27063,20,error,non-critical
ZON-5, T3,SHT-TNOR-SI-,184630.494598,68188.27063,185162.279876,68188.27063,20,error,non-critical
ZON-5, T3,SHT-TNOR-SI-,185480.494598,68188.27063,188403.650314,68188.27063,110,error,critical
ZON-5, T4,SHT-TNOR-SR-,185480.494598,67988.27063,188203.650314,67988.27063,110,error,critical
ZON-5, B1,SHT-TNOR-SO-,200127.592933,56843.805754,200127.592933,57987.076807,75,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,200477.592933,56493.805754,200477.592933,57987.076807,75,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,197414.253814,46140.396411,197414.253814,56843.805754,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,197764.253814,46140.396411,197764.253814,56493.805754,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,199864.253814,46140.396411,199864.253814,46827.276458,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,199864.253814,46827.276458,200476.253814,46827.276458,90,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,200476.253814,46140.396411,200476.253814,46827.276458,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-ZONE2,198114.253814,46140.396411,198114.253814,49184.530657,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,198464.253814,46140.396411,198464.253814,48934.530657,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,198814.253814,46140.396411,198814.253814,48684.530657,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,199164.253814,46140.396411,199164.253814,48434.530657,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,199514.253814,46140.396411,199514.253814,46947.682527,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-ZONE2,198114.253814,49184.530657,201626.253814,49184.530657,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,198464.253814,48934.530657,202226.253814,48934.530657,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,207686.664154,48684.530657,210125.821266,48684.530657,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,205203.121237,48684.530657,207586.664154,48684.530657,0,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,203731.470764,48684.530657,205103.121237,48684.530657,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,203002.762929,48684.530657,203631.470764,48684.530657,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,198814.253814,48684.530657,202776.253814,48684.530657,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,207686.664154,48434.530657,210285.124782,48434.530657,20,error,non-critical
ZON-5, B1,SHT-TNOR-SO-,205203.121237,48434.530657,207586.664154,48434.530657,20,error,non-critical
