StartX,StartY,EndX,EndY
246027.689954,49782.310046,246027.689954,50579.286345
246027.689954,50579.286345,246027.689954,51000.0
246027.689954,51000.0,246027.689954,51032.310046
246027.689954,51032.310046,246027.689954,52250.0
246027.689954,52250.0,246027.689954,53275.000016
246027.689954,52250.0,246177.689954,52100.0
246177.689954,50850.0,246275.0,50850.0
246027.689954,51000.0,246177.689954,50850.0
246177.689954,52100.0,246492.5,52100.0
246027.689954,49782.310046,246174.644661,49635.355339
245798.458004,50350.054395,246027.689954,50579.286345
245798.458004,49985.0,245798.458004,50350.054395
220025.721355,48264.602648,220025.721355,49844.115743
220025.721355,49844.115743,220025.721355,50192.673033
220025.721355,50192.673033,220025.721355,50947.423211
220025.721355,48264.602648,220175.721355,48114.602648
220175.721355,48114.602648,220675.000356,48114.602648
219650.0,50568.394388,219650.0,50969.714082
220325.0,50491.951678,220325.0,51515.0
219650.0,50568.394388,220025.721355,50192.673033
220025.721355,50192.673033,220325.0,50491.951678
220750.0,50568.394388,220750.0,50969.714082
220025.721355,49844.115743,220750.0,50568.394388
115460.0,85086.635209,115592.892367,85086.635209
115592.892367,85086.635209,116783.75,85086.635209
243875.0,42795.0,243875.0,43216.610192
243875.0,43286.610192,243875.0,43564.998064
248272.5,48697.5,248272.5,53327.5
160275.0,119585.0,160168.055656,121938.49914
160445.237325,120826.425087,160332.398557,121938.702924
130701.884157,7477.093529,130125.0,7477.093529
130125.0,7477.093529,129760.796173,7477.093529
129760.796173,7477.093529,128596.027511,7477.093529
128596.027511,7477.093529,128478.811425,7477.093529
128478.811425,7477.093529,128256.452425,7477.093529
129760.796173,7477.093529,129553.240783,7269.538139
128256.452425,7477.093529,128048.897035,7269.538139
128478.811425,7477.093529,128270.285918,7268.568021
128596.027511,7477.093529,128546.966991,7428.033009
130125.0,7478.248801,129975.0,7628.248801
139800.649955,8374.81734,142046.246421,8374.81734
140125.216765,9675.735793,141223.840913,8952.456958
141223.840913,8952.456958,142055.308079,8405.060831
141223.840913,10073.766973,141223.840913,8952.456958
139516.641826,15207.981878,140126.084524,15305.995697
140126.084524,15305.995697,140610.878223,15383.9628
140610.878223,15383.9628,140959.955377,15440.103246
140959.955377,15440.103246,142054.191775,15616.084167
141675.0,14500.0,142088.715499,15573.496673
139616.805662,14601.513287,140126.084524,15305.995697
139461.924353,15713.217668,139539.572797,15657.084667
139167.500001,15657.084667,139539.572797,15657.084667
139539.572797,15657.084667,140233.070375,15657.084667
140233.070375,15657.084667,140610.878223,15383.9628
126339.189474,23470.321446,126399.739986,23470.293038
126499.659389,23470.246158,126863.829802,23470.075298
126863.829802,23470.075298,129034.479698,23469.056883
129034.479698,23469.056883,130727.218109,23468.262692
128841.70278,23707.6125,129034.479325,23468.262692
126722.500001,23657.084665,126863.828952,23468.262692
134458.518368,27805.000356,134458.518368,28968.729897
134837.456543,27810.0,134837.456543,28191.766885
134837.456543,28191.766885,134837.456543,28643.392243
134837.456543,28191.766885,134979.220646,28050.002782
134500.408517,28980.440269,134837.456543,28643.392243
85675.138859,44263.845166,85675.138859,43689.969046
85675.138859,43689.969046,85675.138859,42717.976942
85550.0,42337.5,85550.0,43531.119214
85550.0,43531.119214,85675.138859,43689.969046
89793.659814,30612.417999,88675.693179,30612.417999
88675.693179,30612.417999,88489.528659,30612.417999
88489.528659,30612.417999,88125.0,30612.417999
