pX,pY,Size,System
128932.979756,114800.0,50,PS-2-CAP-AR-
128775,106357.605652,50,PS-2-CAP-AR-
128949.511654,93250.0,50,PS-2-CAP-AR-
113635.0,90300.0,50,PS-2-CAP-AR-
116010.0,90650.0,50,PS-2-CAP-AR-
117135,90575.0,50,PS-2-CAP-AR-
117178.91298,96625.0,50,PS-2-CAP-AR-
115652.5,91579.34086,50,PS-2-CAP-AR-
117324.459601,89500.0,50,PS-2-CAP-AR-
116853.75,85086.635209,50,PS-2-CAP-AR-
117060.0,101837.5,50,PS-2-CAP-AR-
115939.276142,108750.0,50,PS-2-CAP-AR-
117194.946274,107799.674686,50,PS-2-CAP-AR-
115654.405894,110298.549685,50,PS-2-CAP-AR-
115650.895103,112809.670693,50,PS-2-CAP-AR-
113635.0,108903.883381,50,PS-2-CAP-AR-
111125.0,72863.130742,50,PS-2-CAP-AR-
103065.179519,75648.390204,50,PS-2-CAP-AR-
102765.0,70550.0,50,PS-2-CAP-AR-
122894.745018,74700.0,50,PS-2-CAP-AR-
111825.0,66979.351447,50,PS-2-CAP-AR-
122122.634611,68725.000356,110,PS-2-CAP-AR-
123642.85288,66989.769873,110,PS-2-CAP-AR-
123104.84764,67004.769873,50,PS-2-CAP-AR-
138700.004126,58015.0,50,PS-2-CAP-AR-
154727.285733,56943.764929,50,PS-2-CAP-AR-
154900.0,57898.871482,50,PS-2-CAP-AR-
163645.817603,56436.249091,110,PS-2-CAP-AR-
163700.817603,57455.653925,50,PS-2-CAP-AR-
163700.817603,56838.773973,110,PS-2-CAP-AR-
134849.999996,53799.999352,50,PS-2-CAP-AR-
136025.0,51125.0,50,PS-2-CAP-AR-
138620.0,51225.0,50,PS-2-CAP-AR-
135624.999996,53874.999472,50,PS-2-CAP-AR-
136775.221542,50944.71644,50,PS-2-CAP-AR-
134510.00136,54110.07379,50,PS-2-CAP-AR-
121100.0,63790.0,50,PS-2-CAP-AR-
121100.0,62690.0,50,PS-2-CAP-AR-
121110.0,58550.0,50,PS-2-CAP-AR-
121350.0,60753.921381,50,PS-2-CAP-AR-
121350.0,61458.641598,50,PS-2-CAP-AR-
121199.415089,57956.797894,110,PS-2-CAP-AR-
108425.0,63790.0,50,PS-2-CAP-AR-
108425.0,62690.0,50,PS-2-CAP-AR-
108695.0,58550.0,50,PS-2-CAP-AR-
108175.0,62094.531891,50,PS-2-CAP-AR-
108175.0,61458.641598,50,PS-2-CAP-AR-
109492.816605,57956.797894,110,PS-2-CAP-AR-
124675.0,58565.0,50,PS-2-CAP-AR-
124190.0,60250.0,50,PS-2-CAP-AR-
125162.125001,60250.0,50,PS-2-CAP-AR-
122969.52409,61099.999802,50,PS-2-CAP-AR-
124675.000621,59850.0,110,PS-2-CAP-AR-
178650.0,53315.0,50,PS-2-CAP-AR-
185185.0,53450.0,50,PS-2-CAP-AR-
187040.0,52950.0,50,PS-2-CAP-AR-
168175.0,62534.414943,50,PS-2-CAP-AR-
168525.0,65709.414943,50,PS-2-CAP-AR-
172525.0,65709.414943,50,PS-2-CAP-AR-
173900.0,65440.0,50,PS-2-CAP-AR-
172875.0,65365.0,50,PS-2-CAP-AR-
172840.0,57900.0,50,PS-2-CAP-AR-
172840.0,56650.0,50,PS-2-CAP-AR-
173340.07159,55758.27717,50,PS-2-CAP-AR-
173340.07159,59502.050615,50,PS-2-CAP-AR-
173924.526021,59259.368612,50,PS-2-CAP-AR-
173256.464231,57485.981191,110,PS-2-CAP-AR-
187346.578681,56099.773178,50,PS-2-CAP-AR-
187346.578681,64048.933812,50,PS-2-CAP-AR-
191705.203428,53888.627252,50,PS-2-CAP-AR-
196665.0,55000.0,50,PS-2-CAP-AR-
194315.000002,56897.500001,50,PS-2-CAP-AR-
199765.0,56950.0,50,PS-2-CAP-AR-
197535.0,55000.0,50,PS-2-CAP-AR-
198329.610135,56874.999996,50,PS-2-CAP-AR-
196215.0,56950.0,50,PS-2-CAP-AR-
197377.926968,56099.999032,110,PS-2-CAP-AR-
196622.141992,57299.098693,110,PS-2-CAP-AR-
198574.662368,58565.0,50,PS-2-CAP-AR-
196153.220343,53059.278645,110,PS-2-CAP-AR-
196715.834657,58749.99999,50,PS-2-CAP-AR-
195849.019003,52899.714985,50,PS-2-CAP-AR-
195849.019003,53597.619622,50,PS-2-CAP-AR-
198320.959717,54220.402163,50,PS-2-CAP-AR-
198320.959717,53519.016087,50,PS-2-CAP-AR-
196820.914446,56099.999032,110,PS-2-CAP-AR-
197377.926968,55249.999032,110,PS-2-CAP-AR-
196820.914446,55249.999032,110,PS-2-CAP-AR-
193125.008922,56343.987264,50,PS-2-CAP-AR-
193125.008922,55826.883357,50,PS-2-CAP-AR-
181550.0,67540.0,50,PS-2-CAP-AR-
182650.0,67540.0,50,PS-2-CAP-AR-
184310.0,69150.0,50,PS-2-CAP-AR-
183490.0,69150.0,50,PS-2-CAP-AR-
180390.0,70950.0,50,PS-2-CAP-AR-
187610.0,70200.0,50,PS-2-CAP-AR-
179594.458068,67325.0,50,PS-2-CAP-AR-
179300.0,67290.0,50,PS-2-CAP-AR-
188461.729743,67325.0,50,PS-2-CAP-AR-
