pX,pY
32224.96939,125319.999995
32524.967411,125320.0
24425.000005,119053.670761
24425.0,118853.67274
171.86261,129957.669564
371.86459,129957.66957
8224.96939,129269.999995
8524.967411,129270.0
16224.96939,129269.999995
16524.967411,129270.0
57000.0,176200.0
286225.03061,70680.000005
262225.03061,70680.000005
261925.032589,70680.0
256137.118134,74520.808378
256137.118129,74720.806399
226117.922098,71075.31909
226117.922093,70875.321069
278087.247576,77900.807046
277907.218363,77900.807046
278024.999995,68653.670761
278025.0,68453.67274
294225.03061,70680.000005
293925.032589,70680.0
270225.03061,70680.000005
269925.032589,70680.0
270075.0,70680.000004
270225.03061,70847.500014
269925.0,70847.500002
262075.0,70680.000004
262225.03061,70847.500014
262055.0,70847.500002
270225.03061,74919.999995
269925.0,74920.0
294225.03061,74919.999995
293925.032589,74920.0
294075.032589,70680.0
293925.032589,70847.5
294225.03061,70847.500005
286075.0,70680.0
286225.03061,70860.000005
285925.0,70860.0
285925.0,70680.0
294225.03061,74739.999995
294075.032589,74920.0
293925.032589,74740.0
278087.247576,77733.307046
277907.218363,77733.307046
270055.0,74752.5
270075.0,74920.0
270225.03061,74752.499995
277820.0,68453.67274
277819.999995,68653.670761
220024.96939,74919.999995
220324.967411,74920.0
212024.96939,74919.999995
212324.967411,74920.0
188625.03061,74919.999995
188404.967411,74920.0
239400.706093,57792.430912
239400.706087,57992.428932
243388.044521,64747.002802
243388.044516,64947.000823
204225.000005,76946.329239
204225.0,77146.32726
196024.96939,74919.999995
196324.967411,74920.0
262225.03061,74919.999995
262023.47687,74660.019363
262223.474891,74660.01936
262023.47687,74920.0
286225.03061,74919.999995
285925.032589,74920.0
286075.032589,74920.0
285925.032589,74740.0
286225.03061,74739.999995
68626.411483,130347.246947
46312.881866,124920.808378
46312.881871,125120.806399
59061.955479,115147.002802
59061.955484,115347.000823
63049.293907,108192.430912
63049.293913,108392.428932
76332.077902,121475.31909
76332.077907,121275.321069
59594.069628,138212.088486
59394.071608,138212.088491
58912.051229,132677.0
58912.051224,132876.998021
68826.411483,130347.246947
77281.176971,116898.633033
77281.176976,117178.631054
66426.687039,87818.699402
54325.0,176000.012323
122195.078538,44666.28812
122195.078545,44366.2901
135400.0,32675.0
101800.0,46627.503484
93700.0,45375.0
129518.206767,46006.221984
129818.204788,46006.22199
101800.0,46777.503484
129065.0,17420.0
135250.0,32675.0
93700.0,45225.0
159500.0,135975.0
104841.792072,77090.726157
124675.0,59450.0
173025.0,56550.0
218625.0,51200.0
302112.03061,75087.500005
302112.03061,75245.000005
302112.03061,74937.500005
302112.03061,74787.500005
242855.930372,87812.088486
243055.928392,87812.088491
243537.948771,82277.0
243537.948776,82476.998021
243537.948771,82277.0
233823.588517,79947.246947
233623.588517,79947.246947
236978.670761,109699.999995
236778.67274,109700.0
239467.615136,106217.384986
239267.615136,106217.384986
243282.500005,133787.03061
243110.142167,133787.03061
243077.5,125450.032589
243077.499995,125900.03061
239172.5,125450.032589
239172.500005,125900.03061
239172.5,117450.032589
239172.500005,117900.03061
243077.5,117450.032589
243077.499995,117900.03061
246008.307046,109762.247576
246008.307041,109581.98781
243077.5,101450.0
243077.499995,101899.998021
239172.5,101450.032589
239172.500005,101900.03061
243077.5,93450.032589
243077.499995,93900.03061
233837.122992,79522.86779
233623.976313,79521.831459
