StartX,StartY,EndX,EndY
2478.581942,127395.471998,2617.022214,127395.471998
2478.581942,127357.971998,2478.581942,127395.471998
2478.581942,127395.471998,2478.581942,127432.971998
1410.779864,128650.0,1549.220136,128650.0
1549.220136,128612.5,1549.220136,128650.0
1549.220136,128650.0,1549.220136,128687.5
2501.559728,131584.72126,2640.0,131584.72126
2501.559728,131547.22126,2501.559728,131584.72126
2501.559728,131584.72126,2501.559728,131622.22126
451.832002,130799.999032,674.029589,130799.999032
371.832002,130719.999032,451.832002,130799.999032
674.029589,130759.999032,674.029589,130799.999032
674.029589,130799.999032,674.029589,130839.999032
371.86459,130020.16957,371.826569,130719.993599
8524.967411,129332.5,8524.967411,130120.000009
8604.967411,130200.000009,8827.164998,130200.000009
8524.967411,130120.000009,8604.967411,130200.000009
8222.769824,130200.000009,8444.967411,130200.000009
8444.967411,130200.000009,8524.967411,130120.000009
8222.769824,130160.000009,8222.769824,130200.000009
8222.769824,130200.000009,8222.769824,130240.000009
8827.164998,130160.000009,8827.164998,130200.000009
8827.164998,130200.000009,8827.164998,130240.000009
16604.967411,135055.511893,16678.407682,135055.511893
16678.407682,135018.011893,16678.407682,135055.511893
16678.407682,135055.511893,16678.407682,135093.011893
16524.967411,129332.5,16524.967411,130119.998064
16524.967411,130119.998064,16524.967411,133070.0
16524.967411,133070.0,16524.967411,134975.511893
16222.802413,130199.998064,16444.967411,130199.998064
16444.967411,130199.998064,16524.967411,130119.998064
16222.802413,130159.998064,16222.802413,130199.998064
16222.802413,130199.998064,16222.802413,130239.998064
14433.918877,126450.0,14572.359148,126450.0
14572.359148,126412.5,14572.359148,126450.0
14572.359148,126450.0,14572.359148,126487.5
18775.0,127390.779864,18775.0,127529.220136
18737.5,127390.779864,18775.0,127390.779864
18775.0,127390.779864,18812.5,127390.779864
16999.208699,127635.174748,17148.538519,127635.174748
16999.208699,127585.174748,16999.208699,127635.174748
16999.208699,127635.174748,16999.208699,127685.174748
16999.208699,126999.75,17148.538519,126999.75
16999.208699,126949.75,16999.208699,126999.75
16999.208699,126999.75,16999.208699,127049.75
17025.098247,126449.01841,17163.538519,126449.01841
17025.098247,126411.51841,17025.098247,126449.01841
17025.098247,126449.01841,17025.098247,126486.51841
24140.866925,126625.2245,24260.196745,126625.2245
24140.866925,126575.2245,24140.866925,126625.2245
24140.866925,126625.2245,24140.866925,126675.2245
24180.147907,125287.5,24318.588179,125287.5
24180.147907,125250.0,24180.147907,125287.5
24180.147907,125287.5,24180.147907,125325.0
23437.5,127360.215186,23437.5,127509.545006
23387.5,127509.545006,23437.5,127509.545006
23437.5,127509.545006,23487.5,127509.545006
26503.391406,127175.124686,26503.391406,127293.977346
26465.891406,127175.124686,26503.391406,127175.124686
26503.391406,127175.124686,26540.891406,127175.124686
26887.49999,127453.977346,26887.49999,127621.585918
26887.49999,127453.977346,26967.49999,127373.977346
26849.99999,127621.585918,26887.49999,127621.585918
26887.49999,127621.585918,26924.99999,127621.585918
27223.520726,132764.475995,27223.520726,132902.916267
27186.020726,132902.916267,27223.520726,132902.916267
27223.520726,132902.916267,27261.020726,132902.916267
33338.279864,135699.010524,33420.0,135699.010524
33338.279864,135661.510524,33338.279864,135699.010524
33338.279864,135699.010524,33338.279864,135736.510524
36716.538893,134293.764299,36819.979164,134293.764299
36819.979164,134293.764299,36899.979164,134213.764299
36716.538893,134256.264299,36716.538893,134293.764299
36716.538893,134293.764299,36716.538893,134331.264299
36979.979164,133700.147039,37083.419436,133700.147039
36899.979164,133620.147039,36979.979164,133700.147039
37083.419436,133662.647039,37083.419436,133700.147039
37083.419436,133700.147039,37083.419436,133737.647039
34175.0,130731.0,34175.0,130839.440272
34137.5,130839.440272,34175.0,130839.440272
34175.0,130839.440272,34212.5,130839.440272
34620.801391,130462.559728,34620.801391,130571.0
34540.801391,130651.0,34620.801391,130571.0
34583.301391,130462.559728,34620.801391,130462.559728
34620.801391,130462.559728,34658.301391,130462.559728
33788.608487,127621.276437,33788.608487,127694.716709
33708.608487,127774.716709,33788.608487,127694.716709
33751.108487,127621.276437,33788.608487,127621.276437
33788.608487,127621.276437,33826.108487,127621.276437
32819.768764,127774.716709,33094.543529,127774.716709
33094.543529,127774.716709,33708.608487,127774.716709
33094.543529,127774.716709,33174.543529,127694.716709
33174.54353,127621.276437,33174.543529,127694.716709
33137.04353,127621.276437,33174.54353,127621.276437
33174.54353,127621.276437,33212.04353,127621.276437
42274.688441,128953.279864,42274.688441,129090.903141
42237.188441,129090.903141,42274.688441,129090.903141
42274.688441,129090.903141,42312.188441,129090.903141
26187.457581,118788.402995,26330.299915,118788.402995
26330.299915,118750.902995,26330.299915,118788.402995
26330.299915,118788.402995,26330.299915,118825.902995
25387.494573,118725.990579,25387.494573,118868.292146
25349.994573,118868.292146,25387.494573,118868.292146
25387.494573,118868.292146,25424.994573,118868.292146
24605.0,120300.0,24827.197587,120300.0
24525.0,120380.0,24605.0,120300.0
24222.802413,120300.0,24445.0,120300.0
24445.0,120300.0,24525.0,120380.0
24222.802413,120260.0,24222.802413,120300.0
24222.802413,120300.0,24222.802413,120340.0
24827.197587,120260.0,24827.197587,120300.0
24827.197587,120300.0,24827.197587,120340.0
22736.514564,118825.000027,22889.954835,118825.000027
22736.514564,118787.500027,22736.514564,118825.000027
22736.514564,118825.000027,22736.514564,118862.500027
23662.505427,118660.990579,23662.505427,118814.430851
23625.005427,118814.430851,23662.505427,118814.430851
23662.505427,118814.430851,23700.005427,118814.430851
24525.0,120380.0,24524.967411,121017.5
52765.804129,139811.272914,52765.804129,139904.713185
52685.804129,139984.713185,52765.804129,139904.713185
52728.304129,139811.272914,52765.804129,139811.272914
52765.804129,139811.272914,52803.304129,139811.272914
53892.482479,139125.0,54054.361789,139125.0
53892.482479,139070.0,53892.482479,139125.0
53892.482479,139125.0,53892.482479,139180.0
55475.779864,140950.443622,55614.220136,140950.443622
55475.779864,140912.943622,55475.779864,140950.443622
55475.779864,140950.443622,55475.779864,140987.943622
50231.235691,147448.991362,50231.235691,147542.431634
50193.735691,147448.991362,50231.235691,147448.991362
50231.235691,147448.991362,50268.735691,147448.991362
49425.190674,151108.307262,49425.190674,151201.747533
49425.190674,151108.307262,49505.190674,151028.307262
49387.690674,151201.747533,49425.190674,151201.747533
49425.190674,151201.747533,49462.690674,151201.747533
53915.74844,149900.0,54054.188711,149900.0
54054.188711,149862.5,54054.188711,149900.0
54054.188711,149900.0,54054.188711,149937.5
53599.676935,150317.825329,53800.74844,150317.825329
53800.74844,150317.825329,53880.74844,150237.825329
53599.676935,150280.325329,53599.676935,150317.825329
53599.676935,150317.825329,53599.676935,150355.325329
49925.0,158850.779864,49925.0,158944.220136
49887.5,158850.779864,49925.0,158850.779864
49925.0,158850.779864,49962.5,158850.779864
56943.391333,157638.339575,57070.407149,157638.339575
56943.391333,157600.839575,56943.391333,157638.339575
56943.391333,157638.339575,56943.391333,157675.839575
57230.407149,157526.703537,57386.775808,157526.703537
57150.407149,157606.703537,57230.407149,157526.703537
57386.775808,157489.203537,57386.775808,157526.703537
57386.775808,157526.703537,57386.775808,157564.203537
59237.5,160205.779864,59237.5,160344.220136
59200.0,160344.220136,59237.5,160344.220136
59237.5,160344.220136,59275.0,160344.220136
57900.0,160250.779864,57900.0,160419.220136
57845.0,160419.220136,57900.0,160419.220136
57900.0,160419.220136,57955.0,160419.220136
57019.056812,161087.5,57177.433159,161087.5
65698.444428,158211.514564,65698.444429,158364.954835
65660.944428,158211.514564,65698.444428,158211.514564
65698.444428,158211.514564,65735.944428,158211.514564
64225.0,159697.802413,64225.0,159920.0
64145.0,160000.0,64225.0,159920.0
64225.0,160080.0,64225.0,160302.197587
64145.0,160000.0,64225.0,160080.0
64185.0,160302.197587,64225.0,160302.197587
64225.0,160302.197587,64265.0,160302.197587
64185.0,159697.802413,64225.0,159697.802413
64225.0,159697.802413,64265.0,159697.802413
63507.5,160000.032589,64145.0,160000.0
65712.195558,159137.505427,65865.63583,159137.505427
65712.195558,159100.005427,65712.195558,159137.505427
65712.195558,159137.505427,65712.195558,159175.005427
65716.266976,160862.494573,65869.707247,160862.494573
65716.266976,160824.994573,65716.266976,160862.494573
65716.266976,160862.494573,65716.266976,160899.994573
49978.279864,165533.937391,50071.720136,165533.937391
49978.279864,165496.437391,49978.279864,165533.937391
49978.279864,165533.937391,49978.279864,165571.437391
50186.720136,166974.034702,50340.160407,166974.034702
50340.160407,166936.534702,50340.160407,166974.034702
50340.160407,166974.034702,50340.160407,167011.534702
54325.0,175697.802413,54325.0,175937.512323
54325.0,176062.512323,54325.0,176302.197587
54285.0,176302.197587,54325.0,176302.197587
54325.0,176302.197587,54365.0,176302.197587
54285.0,175697.802413,54325.0,175697.802413
54325.0,175697.802413,54365.0,175697.802413
52837.5,177681.212343,52837.5,177805.071585
52800.0,177805.071585,52837.5,177805.071585
52837.5,177805.071585,52875.0,177805.071585
52730.0,176862.494573,52893.292146,176862.494573
52650.0,176782.494573,52730.0,176862.494573
52893.292146,176824.994573,52893.292146,176862.494573
52893.292146,176862.494573,52893.292146,176899.994573
52730.0,176000.000699,54262.5,176000.012145
57125.0,181900.045165,57125.0,182018.485436
57087.5,182018.485436,57125.0,182018.485436
57125.0,182018.485436,57162.5,182018.485436
55837.5,182848.279864,55875.0,182848.279864
55875.0,182848.279864,55912.5,182848.279864
52939.771902,181925.624436,52939.771902,182049.064708
52902.271902,182049.064708,52939.771902,182049.064708
52939.771902,182049.064708,52977.271902,182049.064708
53725.0,183892.977529,53725.0,184042.022471
53685.0,183892.977529,53725.0,183892.977529
53725.0,183892.977529,53765.0,183892.977529
65712.826356,161635.045165,65712.826356,161788.485436
65675.326356,161788.485436,65712.826356,161788.485436
65712.826356,161788.485436,65750.326356,161788.485436
24505.0,118625.990579,25287.494573,118625.990579
25287.494573,118625.990579,26025.045165,118625.990579
