pX,pY
231975.0,59225
225175.0,77826.800616
220825.0,76450.0
221222.5,74750.0
220445.0,76800.0
220425.0,78050.0
220825.0,79650.0
220445.0,79300.0
220425.0,75649.99999
221295.580073,79925.0
236950.0,87812.088486
237475.0,93200.0
239175.0,92702.5
237125.0,93500.0
235875.0,93500.0
234275.0,93200.0
234625.0,93500.0
238275.0,93500.0
234000.0,92632.50001
239527.5,119012.5
242772.5,119012.5
243775.0,115675.0
243974.964312,116225.0
244051.841807,115375.0
244172.926002,115157.347726
243212.5,132852.5
234975.0,105937.5
234000.0,107375.0
234075.0,111512.5
234025.0,109850.000002
194912.6,74441.415218
198249.999802,70149.999802
197699.999986,69950.0
198550.0,69873.158193
186900.0,71202.5
185649.658202,69185.0
186151.039251,70875.0
198718.75,67422.751191
245300.0,57792.430912
238475.0,29925.0
238275.035688,29375.0
238198.158193,30277.306732
238075.060878,30439.718726
18450.0,125850.0
17900.0,126050.0
18750.0,126126.841807
18963.321425,126252.176457
68075.0,130150.0
63874.279813,130431.633898
65074.278289,130431.633898
56250.0,132675.0
54701.746018,134275.0
74925.0,116423.029583
62918.580782,169421.188167
59677.499999,169412.410544
58675.0,166075.0
58475.0,166625.0
58398.158193,165772.371362
67475.0,156337.5
68450.0,157775.0
104068.75,117824.220136
18538.75007,128585.0
263362.4,74391.415218
291825.000001,74309.701412
247250.021274,62977.0
246975.0,61650.0
234375.0,79750.0
238575.720187,80031.633898
237322.311195,80031.633898
231675.0,66050.0
246100.074426,82275.0
224722.5,65775.000014
227553.108878,66023.029583
255375.0,79125.779864
230665.31399,59085.0
233800.0,107374.826189
262839.541387,77369.502161
263575.779864,77174.999999
239477.499999,21412.178539
239527.5,18587.5
236737.126328,18399.954835
236559.851874,19137.505427
236559.851874,20862.494573
236737.126328,21600.045165
239477.499999,26587.5
236750.0,26399.954835
236552.725546,27137.505427
242772.5,45412.5
242722.5,42587.5
245522.873672,42399.954835
245710.148126,43137.505427
245710.148126,44862.494573
245522.873672,45600.045165
239522.76249,45413.018239
239527.521444,42587.5
236787.126328,42399.954835
236559.851874,43137.505427
236559.851874,44862.494573
236787.126328,45600.045165
239527.888834,50562.5
236562.679998,51086.961387
236750.0,50346.702943
213737.5,71202.5
210912.5,71202.5
210724.954835,68412.173644
211462.505427,68233.038787
213187.494573,68233.038787
213925.045165,68412.173644
194912.5,71202.5
194724.954835,68412.173644
195462.505427,68227.794389
189762.5,71127.5
189237.5,68227.339034
189975.050592,68425.0
189762.5,74447.5
189237.428347,77372.572964
189976.112431,77187.826356
195462.5,77374.732639
194717.422246,77187.826356
239527.5,95012.5
236750.0,95200.045165
236555.0,94462.494573
242722.5,95037.5
245700.0,94512.5
245501.327716,95250.0
236750.000001,119200.0
236550.0,118460.729272
245499.999973,119201.864242
245700.0,118464.31365
239527.5,124162.5
239458.584782,127062.4
236750.000027,127250.0
236550.0,126512.5
236550.0,124687.5
236750.000027,123950.0
56768.27989,168862.5
56937.500026,169618.279864
65891.720136,168862.5
65712.5,169618.279864
68672.640012,157777.0
66975.0,78925.0
294975.0,74400
15437.023533,119375.582788
63200.694056,136100.0
60963.618664,148488.441561
65150.0,169986.546912
61690.074212,97385.382887
66211.425751,111281.684657
70827.239204,86472.507678
70827.239204,90402.492322
242772.5,124187.5
242722.5,127012.5
245499.999973,127200.0
245700.0,126462.5
245700.0,124737.5
245499.999973,124000.0
242722.5,100187.5
242722.5,103012.5
245499.999973,103200.0
245700.0,102462.5
245700.0,100737.5
245499.999973,100000.0
239477.5,100187.5
239527.5,103012.5
236750.000027,103200.0
236550.0,102462.5
236550.0,100737.5
236750.000027,100000.0
234650.0,117300.0
248700.0,87662.088491
236778.672742,111900.02028
256137.118134,68621.514471
244069.27385,131402.809322
243774.197899,131800.0
234875.0,105875.0
236724.998469,110180.0
254883.472205,83344.814822
255226.58288,84150.024447
257611.728732,65075.0
192609.061471,65950.0
196625.0,79273.714413
213737.5,74447.5
210912.5,74397.5
210724.954835,77187.826356
211462.505427,77366.961213
213187.494573,77366.961213
213925.045165,77187.826356
218862.5,71202.5
218674.954835,68412.173644
219412.505427,68233.038787
218912.5,74397.5
218724.954835,77187.826356
219462.505427,77366.961213
207987.5,79000
206550.0,79925.000001
202350.0,79700.0
204074.999998,79900.000001
206550.173811,80125.000001
202024.97972,77146.327259
202436.853239,79850.0
194451.225384,70950.000198
194600.0,70505.555494
195849.846547,68400.168798
196188.447913,69099.999999
261425.0,69150.0
261027.5,70850.0
261805.0,68800.0
261825.0,67550.0
261425.0,65950.0
261805.0,66300.0
261825.0,69950.00001
260954.419927,65675.0
263337.5,71202.5
263525.045165,68412.173644
262787.494573,68233.038787
268512.5,71202.5
271337.5,71202.5
271525.045165,68412.173644
270787.494573,68233.038787
269062.505427,68233.038787
268324.954835,68412.173644
274200.0,66650.000001
275700.0,65674.999999
279837.5,65749.999999
278175.000002,65699.999999
275699.826189,65474.999999
280225.02028,68453.672741
287337.5,71202.5
287525.0,68425.000001
286785.729272,68225.0
285625.0,66325.0
292487.5,71152.5
295362.5,71127.5
295576.715955,68412.173644
294839.165363,68233.038787
293011.725917,68233.038787
292274.175325,68412.173644
301177.5,74887.5
299727.809322,75744.27385
300125.0,75449.197899
284000.0,75450.0
284550.0,75649.964312
283700.0,75726.841807
286500.0,77349.964312
287737.5,74700.0
268506.368607,74447.5
271331.368607,74397.5
271518.913772,77187.826356
270781.36318,77366.961213
269056.374034,77366.961213
268318.823442,77187.826356
274200.0,66550.000001
279812.5,65899.999998
244775.0,52500.0
243075.0,52897.5
245125.0,52120.0
246375.0,52100.0
247975.0,52500.0
247625.0,52120.0
243974.99999,52100.0
248250.0,52970.580073
242722.5,50587.5
245512.826356,50399.954835
245691.961213,51137.505427
247271.489751,39722.606331
248246.489753,38222.606331
248025.0,34025.0
248221.489753,35747.606329
248446.489753,38222.780142
245467.817012,33697.586051
247371.489751,39722.606331
242722.5,26587.5
245499.999999,26400.0
245700.0,27139.270728
247600.0,28300.0
239037.5,12747.5
238180.72615,14197.190678
238475.802101,13800.0
245175.0,35387.5
242716.415218,21437.4
242794.214597,18587.5
245522.873672,18399.954835
245710.148126,19137.505427
245710.148126,20862.494573
245522.873672,21600.045165
59237.500002,183249.533732
58380.726152,181799.843054
58675.802102,182197.033732
59685.470544,174562.5
59658.584782,177462.4
56950.000027,177650.0
56750.0,176912.5
56750.0,175087.5
56950.000027,174350.0
62922.5,174587.5
62992.5,177412.5
65699.999973,177650.0
65900.0,176862.5
65900.0,175137.5
65699.999973,174350.0
67800.419759,167700.0
68375.0,161900.0
68425.0,160250.000002
62922.5,150537.5
62922.5,153362.5
65699.999973,153550.0
65900.0,152812.5
65900.0,151087.5
65699.999973,150350.0
59677.5,150537.5
59727.5,153362.5
56950.000027,153550.0
56750.0,152812.5
56750.0,151087.5
56950.000027,150350.0
64975.0,143600.0
65325.0,143900.0
66575.0,143900.0
68175.0,143600.0
67825.0,143900.0
64175.0,143900.0
68450.0,143032.50001
65700.0,145600.045165
65895.0,144862.494573
59727.5,145437.5
56750.0,144912.5
56948.672284,145650.0
54350.0,134550.0
55025.0,134550.0
65671.327259,162300.02028
65500.0,137339.103666
53870.0,138062.088491
46312.881866,119025.0
76332.077902,127375.0
57153.485529,109037.881856
55475.0,112050.0
77727.640582,116174.859432
70775.0,116452.556574
71178.278266,116024.859418
69039.852875,114110.111782
1272.5,125287.5
2722.190678,126144.27385
2325.0,125849.197899
39087.5,124797.5
39612.354441,127776.96492
38875.103848,127586.646616
9937.5,121602.5
7087.5,121527.5
6884.954835,118812.173644
7612.5,118633.038787
9437.5,118633.038787
10165.045165,118812.173644
9937.5,124847.5
7112.5,124797.5
6924.954835,127587.826356
7662.505427,127766.961213
9387.494573,127766.961213
10125.045165,127587.826356
33937.6,121552.297482
31112.5,121602.5
30924.954835,118812.173644
31664.394858,118633.038787
33389.010623,118633.038787
34125.045165,118812.173644
33937.4,124800.46627
31112.5,124797.5
30924.954835,127587.826356
31662.505427,127766.961213
33387.494573,127766.961213
34125.045165,127587.826356
15112.5,121602.5
15662.467411,118630.09866
14917.389657,118825.000027
16525.904859,116728.702353
40925.0,119550.0
41422.5,121250.0
40645.0,119200.0
40625.0,117950.0
40924.963738,116350.982882
40645.0,116700.0
40625.0,120350.00001
41495.580073,116075.0
39112.5,121602.5
38924.954835,118812.173644
39662.505427,118633.038787
28187.5,117000.0
26750.0,116074.999999
22624.999997,116150.0
26750.173811,115874.999999
22224.97972,118853.672741
24274.999998,117099.999999
288017.523486,75394.090997
287249.999999,75125.0
284852.628994,77509.66491
281910.0,76950.0
286050.0,75400.0
286421.028935,76099.999999
231271.862316,65625.0
94462.5,129400.0
95899.999998,130324.999998
95899.826187,130524.999998
100025.000003,130050.0
100425.020278,127546.327256
115550.0,121602.5
116802.16873,119589.200975
116296.429702,121273.36265
112662.6,121533.584782
113213.10085,118629.372188
112475.550258,118824.626328
112687.6,124847.500009
113210.975807,127771.223427
112476.934398,127574.999973
104200.000198,120549.999802
104750.0,120350.0
107537.5,121602.5
107725.045165,118825.000027
106987.494573,118628.522685
107537.5,124847.5
106987.5,127772.813938
107721.226654,127574.999973
105825.032589,129671.297647
83562.4,121599.53373
83037.5,118627.621424
83775.986538,118825.000027
83537.5,124797.5
81625.0,126850.0
81227.5,125150.0
82005.0,127200.0
82025.0,128450.0
81625.164691,130050.0
82005.0,129700.0
82025.0,126049.253491
81062.5,130325.0
83725.045165,127574.999973
82987.494573,127774.905246
88712.5,121602.5
91537.5,121602.5
91725.045165,118812.173644
90987.494573,118633.038787
89262.505427,118633.038787
88524.954835,118812.173644
88706.368607,124847.5
91531.368607,124797.5
91718.913772,127587.826356
90981.36318,127766.961213
89256.374034,127766.961213
88518.823442,127587.826356
57675.0,102800.0
59375.0,103297.5
57325.0,102500.0
56075.0,102500.0
54475.0,102800.0
54825.0,102500.0
58475.0,102500.0
54200.0,103367.49999
59727.5,100987.5
56950.0,100799.954835
56755.0,101537.505427
62922.5,100962.5
65900.0,101487.5
65701.327716,100750.0
62922.5,95812.5
62922.5,92987.5
65699.999973,92800.291518
65900.0,93537.791518
65900.0,95263.118113
65699.999973,96000.618113
59677.5,95812.5
59727.5,92987.5
56950.000027,92800.0
56750.0,93537.5
56750.0,95262.5
56950.000027,96000.0
55125.0,90062.701613
54203.510248,88625.098653
54425.0,84500.0
54228.510248,86150.098651
54003.510248,88625.272463
56982.182989,84100.078373
62972.500006,76987.532589
63975.000006,80325.032589
64175.0,79775.0
64251.841813,80625.032589
64377.344387,80847.421211
65699.999979,76798.168347
65900.000007,77535.718939
54850.000006,78700.032589
63413.202573,63147.5
64269.976423,64597.190678
63974.900473,64200.0
62972.702518,71812.6
62997.5,69150.0
63337.50001,68579.461012
66103.356168,69488.091908
65900.0,71263.118113
65699.999973,72000.618113
59797.680024,72524.999999
59729.552382,73962.000012
59729.552382,75263.249937
57949.999994,80600.559272
57500.0,76416.657215
56839.798332,112493.994866
81825.0,125867.10742
105825,126121.984917
40775.0,120660.366305
198745.923584,69750.304678
283498.125708,75852.25844
103688.835454,120151.203181
58274.374982,165554.6214
55949.844864,165986.25
54175.0,160100.0
62925.46627,145412.6
63277.763987,143096.924283
14924.954835,127587.826356
15662.505427,127766.961213
15112.5,124847.5
24360.0,130350.0
67800.240337,78403.301138
68475.0,86300.0
98224.999513,116050.0
246510.0,115287.5
246510.0,115025.0
248275.0,109699.999513
204225.0,65654.851439
235747.699042,30962.5
235747.699042,31656.656122
233970.148561,35662.5
248516.52036,83800.0
249050.042548,83450.0
245725.0,83450.0
245850.0,83349.999997
248975.0,84150.0
236225.0,81450.0
278025.0,79950.0
239425.0,27050.0
55493.200143,111570.170357
245964.372775,84421.686656
236175.0,81450.0
104200.0,120273.158193
