StartX,StartY,EndX,EndY
113701.83643,43131.878176,125621.49795,43131.878176
125621.49795,43131.878176,131456.801894,43131.878176
131456.801894,43131.878176,132304.997997,43131.878176
132304.997997,43131.878176,135276.022758,43131.878176
135276.022758,43131.878176,138322.815934,43131.878176
138322.815934,43131.878176,139225.0,43131.878176
139225.0,43131.878176,140421.49795,43131.878176
140421.49795,43131.878176,140621.49795,43131.878176
138522.815934,37934.991633,138522.815934,38087.497909
138522.815934,38087.497909,138522.815934,41406.3929
138522.815934,41406.3929,138522.815934,41758.899176
138522.815934,41758.899176,138522.815934,42931.878176
138522.815934,38087.497909,138722.815934,37887.497909
138322.815934,43131.878176,138522.815934,42931.878176
139582.687257,39475.000666,142162.499997,39475.000506
139425.0,39632.687923,139582.687257,39475.000666
115562.5,47850.0,116387.5,47850.0
98556.469495,36780.091067,99419.97745,36780.091067
98406.469495,36780.091067,98406.469495,36930.091067
98406.469495,36930.091067,98406.469495,37200.202284
98406.469495,37200.202284,98406.469495,39150.0
98406.469495,39150.0,98406.469495,39556.062741
98406.469495,39556.062741,98406.469495,41109.008254
98406.469495,41109.008254,98406.469495,42931.878176
98406.469495,42931.878176,98606.469495,43131.878176
98406.469495,36930.091067,98556.469495,36780.091067
98406.469495,37200.202284,98556.469495,37050.202284
98556.469495,37050.202284,98912.033731,37050.202284
98406.469495,39556.062741,98562.532236,39400.0
98562.532236,39400.0,99045.035797,39400.0
95737.5,39000.0,98256.469495,39000.0
98256.469495,39000.0,98406.469495,39150.0
98406.469495,43131.878176,98606.469495,43131.878176
98606.469495,43131.878176,104970.547641,43131.878176
104970.547641,43131.878176,113048.16357,43131.878176
240887.108166,32711.89822,241865.0,32711.89822
241865.0,32711.89822,242319.775873,32711.89822
242319.775873,32711.89822,244738.10178,32711.89822
244738.10178,32711.89822,245168.10178,32711.89822
245168.10178,32711.89822,246194.396529,32711.89822
246194.396529,32711.89822,248163.10178,32711.89822
248163.10178,32711.89822,248284.9971,32711.89822
241865.0,32711.89822,242015.0,32561.89822
248163.10178,32711.90112,248408.483496,32466.519405
245168.10178,32711.89822,245413.483496,32466.516504
245168.10178,32711.89822,245440.0,32983.796439
245440.0,32983.796439,245440.0,33502.49855
244738.10178,32711.89967,244983.483496,32466.517954
244738.10178,32711.89967,245010.0,32983.797889
245010.0,32983.797889,245010.0,33502.5
240770.024349,31248.196516,242473.195066,31248.196516
242473.195066,31248.196516,243573.195066,31248.196516
243573.195066,31248.196516,244673.195066,31248.196516
244673.195066,31248.196516,245773.195066,31248.196516
245773.195066,31248.196516,246873.195066,31248.196516
246873.195066,31248.196516,247973.195066,31248.196516
247973.195066,31248.196516,248434.260372,31248.196516
240570.024349,30993.502185,241013.526534,30550.0
248584.260372,30700.387873,248584.260372,31098.196516
248434.260372,31248.196516,248584.260372,31098.196516
275980.498418,85764.254678,276810.745322,85764.254678
276810.745322,85764.254678,277910.745322,85764.254678
277910.745322,85764.254678,279010.745322,85764.254678
279010.745322,85764.254678,280110.745322,85764.254678
280110.745322,85764.254678,281064.175003,85764.254678
284861.296873,86010.0,285330.0,86010.0
277297.537916,83410.745322,277910.745322,83410.745322
277910.745322,83410.745322,279010.745322,83410.745322
279010.745322,83410.745322,280110.745322,83410.745322
280110.745322,83410.745322,281064.175003,83410.745322
281064.175003,83410.745322,281264.175003,83210.745322
277297.537916,82489.254678,277910.745322,82489.254678
277910.745322,82489.254678,279010.745322,82489.254678
279010.745322,82489.254678,280110.745322,82489.254678
280110.745322,82489.254678,281064.175003,82489.254678
281064.175003,82489.254678,281264.175003,82289.254678
284861.296873,79940.0,285620.0,79940.0
277132.389191,79224.24549,277415.000968,79224.24549
277415.000968,79224.24549,278663.361539,79224.24549
278663.361539,79224.24549,279455.000968,79224.24549
279455.000968,79224.24549,280597.103616,79224.24549
280597.103616,79224.24549,281064.175003,79224.24549
281064.175003,79224.24549,281264.175003,79024.24549
278514.944441,75943.380619,279048.316905,75943.380619
279048.316905,75943.380619,280751.012918,75943.380619
280751.012918,75943.380619,281464.175003,75943.380619
281464.175003,75943.380619,281675.03341,75943.380619
281675.03341,75943.380619,283575.0,75943.380619
277900.811524,65751.034188,278102.370413,65751.034188
278102.370413,65751.034188,279692.88741,65751.034188
279692.88741,65751.034188,280351.012918,65751.034188
280351.012918,65751.034188,280695.465776,65751.034188
278615.0,68360.0,278615.0,69275.0
272275.0,71163.452349,273220.0,71163.452349
273220.0,71163.452349,275333.448519,71163.452349
275333.448519,71163.452349,277500.811524,71163.452349
277500.811524,71163.452349,279368.452349,71163.452349
279368.452349,71163.452349,280468.452349,71163.452349
277500.811524,71163.452349,277700.811524,70963.452349
275333.448519,71163.452349,275533.448519,70963.452349
280468.452349,71163.452349,280790.251263,71485.251263
279368.452349,71163.452349,279690.251263,71485.251263
261405.700332,63600.0,261605.700332,63800.0
260987.5,63600.0,261405.700332,63600.0
261605.700332,52805.700332,261605.700332,52805.700356
261605.700332,52805.700356,261605.700332,53602.506407
261605.700332,53602.506407,261605.700332,53602.506431
261605.700332,53602.506431,261605.700332,54830.700337
261605.700332,54830.700337,261605.700332,61379.860942
261605.700332,61379.860942,261605.700332,63800.0
261605.700332,63800.0,261605.700332,64709.26606
261605.700332,64709.26606,261605.700332,66333.201604
261605.700332,66333.201604,261605.700332,66648.922929
261605.700332,66648.922929,261605.700332,67495.42168
261605.700332,67495.42168,261605.700332,68934.908198
261605.700332,68934.908198,261805.700332,69134.908198
260980.538217,66448.922929,261405.700332,66448.922929
261405.700332,66448.922929,261605.700332,66648.922929
254963.262553,69134.908198,255100.0,69134.908198
255100.0,69134.908198,255250.122163,69134.908198
255250.122163,69134.908198,255386.85961,69134.908198
255386.85961,69134.908198,255653.815735,69134.908198
255653.815735,69134.908198,256277.412793,69134.908198
256277.412793,69134.908198,257925.0,69134.908198
257925.0,69134.908198,261450.0,69134.908198
261450.0,69134.908198,261805.700332,69134.908198
261805.700332,69134.908198,264725.0,69134.908198
264725.0,69134.908198,271325.0,69134.908198
263256.031921,65656.031921,264290.50603,65656.031921
264290.50603,65656.031921,264525.0,65890.525891
264525.0,64108.787067,264525.0,65890.525891
264525.0,65890.525891,264525.0,67552.7
264525.0,67552.7,264525.0,68934.908198
264525.0,68934.908198,264725.0,69134.908198
264297.048737,67324.748737,264525.0,67552.7
264291.163954,63874.951021,264525.0,64108.787067
261124.748737,52324.748737,261605.700356,52805.700356
236771.854911,51033.656558,237478.656558,51033.656558
237478.656558,51033.656558,238578.656558,51033.656558
238578.656558,51033.656558,239678.656558,51033.656558
239678.656558,51033.656558,240778.656558,51033.656558
240778.656558,51033.656558,241250.0,51033.656558
241550.0,51033.656558,244300.0,51033.656558
244300.0,51033.656558,244916.343442,51033.656558
244916.343442,51033.656558,246016.343442,51033.656558
246016.343442,51033.656558,247116.343442,51033.656558
247116.343442,51033.656558,248216.343442,51033.656558
248216.343442,51033.656558,248894.151388,51033.656558
244300.0,51033.656558,244450.0,51183.656558
248216.343442,51033.656558,248435.251263,50814.748737
241174.949981,57125.0,241400.0,56899.949981
198123.365996,47041.715316,219428.746814,47041.715316
219428.746814,47041.715316,221575.0,47041.715316
155333.100519,68602.707356,158975.0,68602.707356
158975.0,68602.707356,159425.0,68602.707356
159425.0,68602.707356,161431.609321,68602.707356
161486.609321,68602.707356,161907.694878,68602.707356
161907.694878,68602.707356,170332.156774,68602.707356
170332.156774,68602.707356,184977.707356,68602.707356
184977.707356,68602.707356,185458.831332,68602.707356
181005.0,92662.5,181005.0,93101.289159
181005.0,93101.289159,181005.0,94148.328321
181005.0,94148.328321,181005.0,97495.574906
180805.0,97695.574906,181005.0,97495.574906
176092.802108,104884.890989,176092.802108,105283.825928
176092.802108,105283.825928,176092.802108,105675.0
176092.802108,105675.0,176092.802108,106661.916741
171190.538144,118818.577333,171300.0,118818.577333
171300.0,118818.577333,174715.251506,118818.577333
174715.251506,118818.577333,176315.213295,118818.577333
176315.213295,118818.577333,176536.766387,118818.577333
176536.766387,118818.577333,176816.60973,118818.577333
105385.17734,187981.63976,105585.17734,187981.63976
105585.17734,187981.63976,110819.90764,187981.63976
110819.90764,187981.63976,111019.90764,187781.63976
62285.049441,82875.0,62285.049441,83100.0
62285.049441,83100.0,62285.049441,83449.999032
62285.049441,83449.999032,62285.049441,84800.0
62285.049441,84800.0,62285.049441,98899.571849
62285.049441,98899.571849,62485.049441,99099.571849
117450.0,59860.513199,117650.0,59860.513199
117650.0,59860.513199,119225.0,59860.513199
119225.0,59860.513199,123127.5,59860.513199
123127.5,59860.513199,125262.861029,59860.513199
125262.861029,59860.513199,128145.0,59860.513199
128145.0,59860.513199,132650.0,59860.513199
132650.0,59860.513199,135098.305744,59860.513199
135098.305744,59860.513199,140195.0,59860.513199
140195.0,59860.513199,144054.894755,59860.513199
144054.894755,59860.513199,146522.913061,59860.513199
117475.0,59685.513199,117650.0,59860.513199
143854.894755,55450.0,143854.894755,55650.0
143854.894755,55650.0,143854.894755,55970.430558
143854.894755,55970.430558,143854.894755,56750
143854.894755,56750,143854.894755,57975.0
143854.894755,57975.0,143854.894755,59660.513199
115970.892312,94045.98869,116150.0,94045.98869
116150.0,94045.98869,116376.507127,94045.98869
116376.507127,94045.98869,118761.670526,94045.98869
118761.670526,94045.98869,121173.50495,94045.98869
121173.50495,94045.98869,121654.77,94045.98869
121654.77,94045.98869,124916.764205,94045.98869
124916.764205,94045.98869,126940.308157,94045.98869
126940.308157,94045.98869,130074.41913,94045.98869
130074.41913,94045.98869,130274.41913,93845.98869
124716.764205,94245.98869,124916.764205,94045.98869
155423.252773,87038.508064,158975.0,87038.508064
158975.0,87038.508064,159513.767577,87038.508064
159513.767577,87038.508064,159745.137772,87038.508064
159745.137772,87038.508064,160620.0,87038.508064
160730.0,87038.508064,164365.409436,87038.508064
164365.409436,87038.508064,164791.285581,87038.508064
164791.285581,87038.508064,170546.658584,87038.508064
170546.658584,87038.508064,177015.307683,87038.508064
177015.307683,87038.508064,178011.670736,87038.508064
178011.670736,87038.508064,180027.599231,87038.508064
180027.599231,87038.508064,180295.089925,87038.508064
170546.658584,87038.508064,170746.658584,86838.508064
159513.767577,87038.508064,159875.0,86677.275641
178011.670736,87038.508064,178696.363053,86353.815747
180514.091167,87525.0,185295.0,87525.0
178696.363053,83180.0,178696.363053,86353.815747
155412.917872,68352.707356,158975.0,68352.707356
158975.0,68352.707356,160620.0,68352.707356
143854.894755,59660.513199,144054.894755,59860.513199
88749.512297,52074.467773,88749.512297,54450.0
87325.0,54650.0,88549.512297,54650.0
88549.512297,54650.0,88833.177483,54650.0
88549.512297,54650.0,88749.512297,54450.0
240639.264304,105000.0,242574.997181,105000.0
242574.997181,105000.0,242887.051577,105000.0
242887.051577,105000.0,244110.135595,105000.0
244110.135595,105000.0,245134.636657,105000.0
245134.636657,105000.0,246987.789728,105000.0
246987.789728,105000.0,248265.0,105000.0
248265.0,105000.0,248582.71712,105000.0
248582.71712,105000.0,249071.760126,105000.0
249071.760126,105000.0,249282.43759,105000.0
249282.43759,105000.0,249450.251263,105000.0
249450.251263,105000.0,251135.0,105000.0
251135.0,105000.0,251615.0,105000.0
251615.0,105000.0,252601.648122,105000.0
252601.648122,105000.0,253512.507296,105000.0
253512.507296,105000.0,254460.0,105000.0
254460.0,105000.0,254660.0,104800.0
251615.0,105000.0,251765.0,105150.0
247137.789728,99652.278382,247137.789728,100637.792166
247137.789728,100637.792166,247137.789728,103639.999705
247137.789728,103639.999705,247137.789728,104850.0
243210.135595,101725.786016,243210.135595,101970.003014
243210.135595,101970.003014,243210.135595,103768.468363
243210.135595,103768.468363,243210.135595,104676.915982
243010.135595,101770.003014,243210.135595,101970.003014
244110.135595,105000.0,244310.135595,104800.0
195194.238562,87204.520274,195194.238562,89684.9625
195194.238562,89684.9625,195194.238562,92217.277149
195194.238562,92217.277149,195194.238562,93013.307449
195194.238562,93113.307449,195194.238562,98954.281727
195194.238562,98954.281727,195194.238562,99574.256917
195194.238562,99574.256917,195194.238562,104416.302988
194960.54155,104650.0,195194.238562,104416.302988
240639.264304,86621.293573,242623.149921,86621.293573
242623.149921,86621.293573,247625.0,86621.293573
247625.0,86621.293573,248420.096003,86621.293573
248420.096003,86621.293573,248781.702298,86621.293573
248781.702298,86621.293573,248981.702298,86621.293573
248420.096003,86621.293573,248620.096003,86821.293573
233008.576414,77898.732651,233650.739122,77898.732651
116176.507127,94245.98869,116176.507127,95209.392407
116176.507127,95209.392407,116176.507127,95787.011031
116176.507127,95787.011031,116176.507127,96750.414747
116176.507127,96750.414747,116176.507127,99639.323943
116176.507127,99639.323943,116176.507127,102143.75
116176.507127,102143.75,116176.507127,102583.282454
116176.507127,94245.98869,116376.507127,94045.98869
118561.670526,94245.98869,118561.670526,95350.41474
