StartX,StartY,EndX,EndY
205595.0,77424.999312,206048.284107,77424.999312
206083.284107,77424.999312,206083.284107,77669.829762
196148.306765,77575.0,196505.0,77575.0
196113.306765,77575.0,196113.306765,77819.83045
289095.0,65304.136149,289448.284106,65304.136149
289483.284106,65304.136149,289483.284106,65548.966599
273901.715893,65821.802623,274255.0,65821.802623
273866.715893,65821.802623,273866.715893,66066.633072
288450.0,80971.054716,288450.0,81403.284107
288205.16955,81438.284107,288450.0,81438.284107
260900.0,53684.215898,260900.0,54087.500004
260900.0,53649.215898,261144.83045,53649.215898
254693.054932,71885.174224,254693.054932,72338.458331
254693.054932,72373.458331,254700.0,72373.458331
254700.0,72373.458331,254937.885382,72373.458331
224432.21725,76975.0,224885.501356,76975.0
224397.21725,76730.16955,224397.21725,76975.0
249019.202298,86975.0,249472.486405,86975.0
249507.486405,86975.0,249507.486405,87219.83045
249295.0,99381.414531,249748.284107,99381.414531
249783.284107,99381.414531,249783.284107,99626.24498
249295.0,111670.863851,249748.284107,111670.863851
249783.284107,111426.033401,249783.284107,111670.863851
252512.407953,61172.374165,252965.69206,61172.374165
253000.69206,60927.543715,253000.69206,61172.374165
242895.0,25922.341016,243348.284107,25922.341016
243383.284107,25922.341016,243383.284107,26167.171466
193614.12557,125520.0,193614.12557,126088.284107
193369.29512,126123.284107,193614.12557,126123.284107
185550.0,124410.0,185550.0,124863.284107
185305.16955,124898.284107,185550.0,124898.284107
165900,125585.0,165900,126038.284107
165655.16955,126073.284107,165900,126073.284107
168400.0,78836.715893,168400.0,79290.0
168155.16955,78801.715893,168400.0,78801.715893
162100.0,61631.840932,162100.0,62085.125039
162100.0,61596.840932,162344.83045,61596.840932
118534.230857,57975.0,118987.514963,57975.0
118499.230857,57730.16955,118499.230857,57975.0
148384.215893,54675.0,148837.5,54675.0
148349.215893,54430.16955,148349.215893,54675.0
138948.651266,39941.292129,138948.651266,40313.8955
138948.651266,39906.292129,139193.481716,39906.292129
95700.0,38257.396629,95700.0,38630.0
95700.0,38222.396629,95944.83045,38222.396629
123634.230527,55175.0,124087.514634,55175.0
123599.230527,54930.16955,123599.230527,55175.0
130200.0,81809.215893,130200.0,82262.5
130200.0,81774.215893,130444.83045,81774.215893
117612.5,75227.0,117983.813891,75227.0
118018.813891,75227.0,118018.813891,75471.83045
116459.215893,69715.0,116912.5,69715.0
116424.215893,69470.16955,116424.215893,69715.0
115700.0,101859.215893,115700.0,102312.5
115700.0,101824.215893,115944.83045,101824.215893
124400.0,101883.817089,124400.0,102337.101195
