pX,pY
56321.658307,109525.0
51940,110087.753499
47313.650173,111975.0
45525,121225.0
87421.224339,101750.0
88974.914903,97259.788364
91350,107050.0
78500.0,107050.0
70650.0,97300.0
75550.0,97200.0
71815.0,103075.0
65650.0,96250.0
64250.0,84600.0
102500.0,133700.0
102500.0,126225.000001
109949.998618,126825.0
115675.0,135025.0
108400.0,135899.999309
99675.068517,36525.0
95700.0,39000.0
104539.938006,40525.0
142199.999997,39475.000506
138948.651266,41558.899176
115975.0,45862.5
128865.795607,30625.0
133275.0,117075.0
129300.00001,117425.0
118800.0,116650.0
115700.0,102350.0
115700.0,96900.414747
117999.697578,96297.184883
127625.0,119050.0
104400.0,192501.3899
105350.0,177950.0
108175.0,185625.0
115075.0,172225.0
103749.999987,169249.936158
114875.0,159525.0
114845.0,152600.0
116425.0,152600.0
118000.0,95500.0
124400.0,101846.317089
119025.014963,57975.0
123725.0,57200.0
134475.0,86725.0
158975.0,86875.0
191925.009437,157750.0
134475.0,112825.192346
134475.0,68486.229497
146575.0,64550.0
158975.0,68486.229497
165145.051013,145200.0
203241.25,138150.0
203050.0,105050.0
233483.75,108850.0
233483.75,123650.0
118425.0,177750.0
118425.0,157903.416371
118425.0,146299.999999
254700.0,61229.860942
252475.0,61175.000008
249125.0,61175.000008
244975.0,61175.000008
260900.0,54125.000004
239233.085382,58575.0
248981.702298,86975.0
196963.304757,82334.280366
144100.325314,55725.0
148875,54675.0
155650,62050.0
150500,62050.0
145400.0,62050.0
139750.0,62050.0
158975.0,112650.0
162100.0,62120.125039
164475.0,64874.99845
168400.0,79325.0
124125.014634,55175.0
127700.0,61257.5
145400.0,63550.0
122725.0,67725.0
131750.0,67184.985037
127350.0,66199.985037
125625.0,71650.0
116950.0,69715.0
132221.247718,64925.0
130000.0,76762.485037
131524.999973,77951.133389
123746.817519,80225.0
122625.0,77950.0
130200.0,82300.0
117575.0,75227.0
129975.0,119569.245477
64055.0,101487.5
45425.00726,117525.0
57581.118938,109525.0
57314.993506,109525.0
108725.0,146275.0
107050.0,141150.0
132291.614773,114500.0
108859.644592,137274.929912
109523.999953,134360.091933
103804.281378,129650.0
108838.305313,134340.0
101780.000001,171060.000001
108975.0,153650.0
97521.010745,175575.0
106550.0,189349.999999
224923.001356,76975.0
203825.0,77424.999312
201925.0,74125.017844
198475.0,80550.0
198423.056976,77575.0
245945.691698,52825.0
254700.0,67835.432602
254700.0,71848.322955
161425.0,121600.0
167875.0,124625.0
165900,125550.0
239000.0,53225.0
235378.193106,58575.0
256077.412793,70075.0
260950.0,63600.0
263075.0,65475.0
194525.0,140125.0
185550.0,124375
177400.0,124375
119900.840869,107375.41223
116484.309311,110000.0
196950.0,99424.256917
173385.012801,92400.0
161636.49443,96650.0
162028.345677,99875.0
168598.12108,96652.359754
180221.552367,115050.0
177021.238414,117150.0
176905.0,120550.0
175300.32,105283.825928
175280.0,102885.966893
175280.0,103976.295247
175280.0,102175.289072
168675.729902,109574.99999
165248.504066,116748.452564
161253.327055,119400.132551
166385.08878,133725.0
167322.312494,133725.0
172000.32,134609.219562
172000.32,131375.787079
171300.0,115977.002301
171300.0,117699.128522
191950.0,103623.842642
185550.0,97700.390084
244873.313821,52825.017844
203050.0,123500.0
50000.0,128625.0
118200.0,113975.0
159650.0,99425.0
131775.0,110775.0
193600.0,124050.0
193050.0,136675.0
199675,137275.0
186575.0,70200.0
170746.658584,83125.0
185350.0,87525.0
159874.999985,83125.0
212200.0,90275.0
167922.86461,137300.0
168122.86461,137300.0
69150,127425.0
72650.0,131525.0
65950.0,121425.0
50000.0,117875.0
46850.0,128325.0
59550.0,60600.0
93700.0,45825.0
125500.0,45825.0
122200.0,47975.0
109750.0,118275.0
110500.0,118275.0
120100.0,124975.0
122300.0,85375.0
183450.0,74575.0
196625.0,74375.0
216625.0,76875.0
213875.0,76875.0
242900.0,10200.0
232300.0,81125.0
252450.0,78225.0
257750.0,77825.0
250400.0,67475.0
236350.0,65775.0
255450.0,65425.0
303725.0,71025.0
239350.0,135400.0
185250.0,113500.0
185250.0,117400.0
242600.0,83800.0
228858.404102,58575.0
131999.998622,40364.917397
135476.022758,37475.0
105025.0,89909.071541
126500.0,130875.0
119900.0,88600.0
123600.733005,91814.87394
102500.0,128148.445909
103804.281378,135172.000357
114845.0,164825.0
115075.0,174875.0
178696.363053,83125.0
178846.363053,83125.0
146300.0,129875.0
146250.0,119577.503468
154800.0,129875.0
138650.0,129875.0
155650.0,129875.0
233300.0,74975.0
113300.0,184675.0
238225.0,122000.0
69200.0,97400.0
79525.0,98775.0
123893.412501,110924.976555
132175.0,85025.0
132175.0,90125.0
128850.0,71774.985037
115090.064971,146299.957451
116725.0,148825.0
101950.0,165450.0
105350.0,176652.418328
115347.007661,185625.042548
116717.730849,182475.0
104350,193800.0
110550.0,193400.582954
179500.0,112824.999985
125618.485046,80820.933325
165245.361112,121625.0
175561.841828,105675.0
176780.253357,105675.0
163475.0,105900.0
163166.952906,102675.0
168675.729902,105900.0
160127.629176,105900.0
161178.216398,113475.0
165246.692748,113475.141756
166017.072107,113475.0
162798.643295,109574.99999
