pX,pY
276565.0,86010.0
98662.5,39725.0
280965.0,86010.0
282065.0,86010.0
283165.0,86010.0
284265.0,86010.0
285365.0,86010.0
277665.0,83165.0
280965.0,83165.0
282065.0,83165.0
283165.0,83165.0
284265.0,83165.0
277665.0,82735.0
278765.0,82735.0
279865.0,82735.0
280965.0,82735.0
282065.0,82735.0
283165.0,82735.0
284265.0,82735.0
282365.0,79940.0
283465.0,79940.0
284565.0,79940.0
285665.0,79940.0
280815.0,68315.0
279715.0,68315.0
278615.0,68315.0
280815.0,71510.0
279715.0,71510.0
261225.0,65150.0
261225.0,67550.0
260945.538217,66448.922929
264272.3,67300.0
264266.415217,63850.202284
261100.0,52300.0
248460.0,50790.0
197800.069498,47365.011813
248415.0,102290.00145
248415.0,103390.0
248415.0,104490.00145
262225.0,52425.0
281325.0,65650.0
71275.0,93150.0
83787.5,93150.0
96300.0,93150.0
96300.0,75803.729497
96300.0,58430.0
54400.0,109325.0
56321.658307,109525.0
51940,110087.753499
47313.650173,111975.0
45025.0,119350.0
45525,121225.0
46830.17738,132263.155908
68039.954017,127852.718632
87421.224339,101750.0
88974.914903,97259.788364
90825.0,108700.0
90399.79773,104400.666269
79125.0,108700.0
79449.797716,104400.466269
91350,107050.0
78500.0,107050.0
78779.822759,108350.000968
91198.374943,108350.000968
70650.0,97300.0
75550.0,97200.0
71815.0,103075.0
65650.0,96250.0
67375.0,94450.000008
68950.0,93925.000008
63825.0,82900.0
64250.0,84600.0
64160.707983,83249.999032
103075.20227,135400.666269
102500.0,133700.0
104075.721711,124828.616957
102500.0,126225.000001
102925,129325.0
109949.998618,126825.0
115675.0,135025.0
117775.0,134050.0
117850.0,134825.0
108400.0,135899.999309
109925.0,134340.7021
99095.035797,39400.0
99675.068517,36525.0
98949.533731,37050.202284
95700.0,39000.0
104539.938006,40525.0
140900.0,45800.0
142175.0,44475.0
142050.00002,45725.0
138822.929167,39479.078184
142199.999997,39475.000506
138948.651266,41558.899176
138523.651266,37900.001602
139425.0,37887.497909
139074.373365,39479.078184
116425.0,47850.0
115525.0,47850.0
115975.0,45862.5
115975.0,47550.0
103675.0,27025.0
123875.0,28400.0
113775.0,37875.0
123875.0,9650.0
128865.795607,30625.0
127150.0,120800.0
127825.0,120570.0
128050.0,119495.0
128150.0,117200.769452
133275.0,117075.0
129300.00001,117425.0
127521.238651,120449.999032
118800.0,116650.0
119275.0,118250.0
120227.7,114550.0
118904.398289,117900.000968
115700.0,102350.0
115700.0,96900.414747
117999.697578,96297.184883
121175.872013,95850.0
121375.776383,96395.115344
116075.105498,95900.0
115900.0,95125.0
127625.0,119050.0
104400.0,192501.3899
104974.278289,190825.0
105274.999986,185402.5
105225.0,178797.717122
106825.0,176050.0
105350.0,177950.0
106474.999032,175767.204144
109775.0,185200.0
108175.0,185625.0
115075.0,172225.0
114476.649191,178117.094764
103749.999987,169249.936158
114875.0,159525.0
114845.0,152600.0
116425.0,152600.0
118000.0,95500.0
64839.426397,69927.23961
219095.46213,47375.0
124400.0,101846.317089
119025.014963,57975.0
123725.0,57200.0
188750.0,179748.426268
188750.0,149748.426268
188750.0,169748.426268
188750.0,159748.426268
169550.0,143275.0
177850,143275.0
197875.0,143275.0
254700.0,61229.860942
252475.0,61175.000008
249125.0,61175.000008
244975.0,61175.000008
260900.0,54125.000004
239233.085382,58575.0
248981.702298,86975.0
232971.076414,77898.732651
196963.304757,82334.280366
196500.0,80875.0
200750.0,78296.77962
200750.0,76596.77962
144100.325314,55725.0
143350,57775.0
143225.0,56550
150425.0,53600.0
150425.0,55750.0
148875,54675.0
155650,62050.0
150500,62050.0
145400.0,62050.0
139750.0,62050.0
132725.278574,108658.152104
246085.0,31560.00145
241875.0,30550.0
247915.0,28895.0
246815.0,28895.0
242865.0,28895.0
241765.0,28895.0029
241633.448519,25922.341016
236475.0,31250.000019
248435.0,32440.0029
248435.0,33540.00145
248435.0,34640.00145
247375.0,32550.0
245440.0,33539.99855
245010.0,33540.0
245440.0,32440.0
245010.0,32440.00145
241633.448519,37828.25137
242015.0,32440.0
242015.0,33539.99855
242015.0,34639.99855
243075.0,32550.0
237675.0,36000.0
238525.0,32550.0
238785.0,11750.0
111575.0,47950.0
88749.512297,52024.467773
64839.426397,80988.828845
184400.0,68352.707356
172425.0,68352.707356
160596.498663,77876.046518
162100.0,62120.125039
170875.0,65025.0
164475.0,64874.99845
168125.0,79950.0
168400.0,79325.0
165415.277517,87662.5
241218.504137,131821.611459
241218.504137,125600.0
237900.0,121069.50396
117475.0,56550
124125.014634,55175.0
124175.0,55450.0
123275.0,55450.0
125700.0,54975.0
125524.999987,54200.0
123725.0,55799.998306
127700.0,61257.5
145400.0,63550.0
143225.0,55450.0
150864.944055,53999.999032
150864.944055,55349.999032
122725.0,67725.0
131750.0,67184.985037
127350.0,66199.985037
125625.0,71650.0
116950.0,69715.0
132221.247718,64925.0
130000.0,76762.485037
131524.999973,77951.133389
126125.0,79000.0
115975.0,74600.0
115975.0,75852.0
119050,75002.683614
119050,75447.3
123746.817519,80225.0
122625.0,77950.0
130200.0,82300.0
117575.0,75227.0
116324.999032,75177.0
126987.5,115901.774263
129975.0,119569.245477
64055.0,101487.5
78775.0,103900.0
44950.0,132450.0
47750.0,134513.444466
45025,121500.0
45425.00726,117525.0
45838.184422,132263.155908
57581.118938,109525.0
57314.993506,109525.0
108725.0,146275.0
107050.0,141150.0
132291.614773,114500.0
110275.0,133950.000001
106575.0,133950.0
106923.9303,134282.574756
109523.999953,134360.091933
110323.999818,134340.7021
108859.644592,137274.929912
102925.0,125075.0
103804.281378,129650.0
102725.0,129925.0
108838.305313,134340.0
105349.148014,155577.512041
105349.148014,155577.512041
97007.668012,155577.512041
97007.668012,155577.512041
97007.668012,148044.061503
97007.668012,148044.061503
105349.148014,148044.061503
105349.148014,148044.061503
111019.90764,197675.0
101780.000001,171060.000001
108975.0,153650.0
107200.0,155858.763443
97521.010745,175575.0
109958.443602,185553.612653
105950.0,193700.0
106550.0,189349.999999
247825.0,83225.0
225975.0,76775.0
224923.001356,76975.0
234200.0,56075.0
203825.0,77424.999312
201925.0,74125.017844
198475.0,80550.0
198423.056976,77575.0
244450.0,52100.0
247360.0,50790.0
246260.0,50790.0
245160.0,50790.0
237235.0,50790.0
238335,50790.0
239435,50790.0
242425.0,55350.0
241225.0,50850.0
240535,50790.0
245945.691698,52825.0
254700.0,67835.432602
256024.99998,70450.0
254700.0,71848.322955
254900.0,70275.0
257725.0,69800.0
254660.0,108240.004179
254660.0,107140.005629
254660.0,106040.004179
254660.0,104490.0
254660.0,103389.99855
254660.0,102290.0
253425.0,105100.00145
251765.0,107140.004351
251765.0,106040.004351
251285.0,107140.004351
251285.0,106040.004351
251740.0,103390.0
251740,104490.00145
251310.0,103390.0
251310.0,104490.00145
242925.0,104250.0
245255.0,104800.0
201466.250968,77299.99039
202391.250968,77550.008234
248033.448519,99381.414531
161425.0,121600.0
164625.00002,123650.0
165700.0,123475.0
166425.0,124404.226469
167875.0,124625.0
165900,125550.0
247185.0,31560.00145
248285.0,31560.00145
244985.0,31560.0029
243885.0,31560.0029
242785.0,31560.0
239470.761527,31548.933921
236137.709257,30583.799662
238237.466321,34463.188942
240575.0,52050.0
239000.0,53225.0
235378.193106,58575.0
240941.24754,51692.584663
242664.171829,54558.00785
256077.412793,70075.0
260950.0,63600.0
263075.0,65475.0
194525.0,140125.0
242623.729294,101770.003014
242623.729294,103568.468363
248149.991078,103439.999705
253475.0,106275.0
249455.0,106275.0
248033.448519,111670.863851
244910.008922,106792.5021
248315.00084,108239.99855
248315.00084,107140.0
248315.00084,106039.99855
249475.0,105000.0029
248102.717111,106205.506003
260951.609744,64509.26606
260951.609744,67295.42168
281325.0,69475.0
278302.370413,65371.81638
280551.012918,65371.807192
275533.448519,65821.802623
273425.0,70025.0
282365.0,68315.0
283465.0,68315.0
284565.0,68315.0
283035.0,71510.0
284135.0,71510.0
282475.0,65750.0
282425.0,69425.0
283245.9502,65371.807192
287816.551481,65304.136149
290425.0,70075.0
277665.0,86010.0
278765.0,86010.0
279865.0,86010.0
278765.0,83165.0
279865.0,83165.0
276415.0,79940.0
280815.0,79940.0
277515.0,79940.0
278615.0,79940.0
279715.0,79940.0
281555.0,80950.0
281925.0,79400.0
282424.748737,76200.251263
282295.0,80950.0
282375.0,79000.0
280551.012918,74362.178849
278848.316905,74362.178849
286479.322907,75221.720073
277215.000968,79624.98189
279255.000968,79624.98189
280397.103616,79624.98189
283280.000968,79624.98189
285450.000968,79624.98189
288450.0,79742.425564
288450.0,77938.724847
283549.569451,76577.147088
285426.781841,76577.147088
134325.0,110700.0
185550.0,124375.0
185275.0,122675.0
183500.0,122422.139717
179400.0,122420.554652
177625.0,122675.0
178024.999032,122305.710879
184874.999032,122304.683821
177400.0,124375.0
192975.0,124267.182605
192150.0,124100.0
107769.565736,92507.207603
129161.695096,95289.911343
130867.535614,95293.914975
132573.376131,95293.914975
121454.77,95091.176903
125648.473859,104165.428852
125648.568589,106345.43507
125648.663318,108379.795725
119900.840869,107375.41223
116484.309311,110000.0
195194.238562,87154.520274
195194.238562,93063.307449
195867.019793,98804.281727
195110.54155,107389.815396
195110.54155,112308.465059
193275.0,110361.474786
192970.0,105246.28228
192970.0,103596.430239
196950.0,99424.256917
195949.196999,89534.9625
195949.196999,92067.277149
195949.196999,106898.652015
195949.196999,110084.05989
184364.505133,107630.692182
176092.802108,106711.916741
180465.181667,102863.753249
184102.780645,101865.301187
173314.817303,103647.534247
173314.817303,102138.355621
182799.34818,97492.272629
182799.34818,93948.328321
172894.923832,96969.756496
174565.338025,96969.756496
175555.076168,96969.756496
166065.825563,95569.859754
166065.825565,93482.359755
170055.0,99037.5
161945.825563,93482.359754
164005.825563,95569.859754
173047.114402,116775.169342
174915.251506,120107.039648
176866.60973,118818.577333
161334.859368,111473.617356
161945.825563,95569.859754
183273.019114,129616.465649
180724.585287,129616.465649
176601.863555,129616.465649
170463.946614,131705.920858
167622.148067,135037.182075
181005.0,92625.0
183655.0,92625.0
178550.605256,96789.169546
173385.012801,92400.0
161636.49443,96650.0
162246.126909,98200.128226
162028.345677,99875.0
168598.12108,96652.359754
180221.552367,115050.0
177021.238414,117150.0
176905.0,120550.0
175300.32,105283.825928
175280.0,102885.966893
175103.497588,100501.57708
175280.0,103976.295247
175280.0,102175.289072
168675.729902,109574.99999
165248.504066,116748.452564
161253.327055,119400.132551
166385.08878,133725.0
167322.312494,133725.0
172000.32,134609.219562
172000.32,131375.787079
171300.0,115977.002301
171300.0,117699.128522
191950.0,103623.842642
185550.0,97700.390084
285053.888253,65371.81638
244873.313821,52825.017844
241800.391724,33717.134888
90523.7428,101615.332217
90696.919669,101615.332217
93226.922292,101615.332217
93400.099162,101615.332217
95803.922292,101615.332217
95977.099162,101615.332217
98387.101785,101615.332217
98560.278654,101615.332217
100685.693699,101246.636595
102866.01833,100954.253333
108975.409,100950.0
101099.148014,188934.500546
101099.148014,188934.500546
96307.668012,188934.500546
96307.668012,188934.500546
96307.668012,193580.938497
96307.668012,193580.938497
101099.148014,193580.938497
101099.148014,193580.938497
99950.0,188661.57432
131775.000015,110775.000016
242600.0,83800.0
250450,88250.0
249375,87600.0
225225.0,76650
242875.0,60900.0
236372.473425,57432.426557
240372.473425,57432.426557
228858.404102,58575.0
195725.0,80950.0
131999.998622,40364.917397
135476.022758,37475.0
133702.500007,37750.001049
132504.997997,37675.000001
141473.067371,48166.205073
45000.0,129950.0
44950.0,130650.0
46756.484415,130850.0
45725.0,132700.0
56090.879431,108005.010674
57801.934003,108005.010674
72575.0,95500.0
105025.0,89909.071541
98897.734712,105833.717551
105922.734712,102408.717551
110261.233275,101783.717551
99436.028867,102408.717551
93436.028867,102408.717551
