pX,pY,Size,System
88749.512297,53262.233886,110,PS-2-CAP-EME-
121964.284987,108847.832813,200,-M-PLUMBING K1_STERILIZATION_CAP
91141.095471,99917.148904,110,-M-PLUMBING K1_LAUNDRY_CAP
57861.836001,109525.0,50,PS-2-CAP-AR-
51777.5,110087.753499,50,PS-2-CAP-AR-
45525,121062.5,50,PS-2-CAP-AR-
87458.724339,101750.0,50,-M-PLUMBING K1_LAUNDRY_CAP
89012.414903,97259.788364,50,-M-PLUMBING K1_LAUNDRY_CAP
91387.5,107050.0,50,PS-2-CAP-AR-
78462.5,107050.0,50,PS-2-CAP-AR-
70612.5,97300.0,50,PS-2-CAP-AR-
75387.5,97200.0,50,PS-2-CAP-AR-
71815.0,103112.5,50,PS-2-CAP-AR-
65650.0,96212.5,50,PS-2-CAP-AR-
64287.5,84600.0,50,PS-2-CAP-AR-
102462.5,133700.0,50,PS-2-CAP-AR-
109912.498618,126825.0,50,PS-2-CAP-AR-
115675.0,135062.5,50,PS-2-CAP-AR-
95662.5,39000.0,50,PS-2-CAP-AR-
99675.068517,36487.5,50,PS-2-CAP-AR-
104502.438006,40525.0,50,PS-2-CAP-AR-
142200.0,39227.396613,110,PS-2-CAP-AR-
142200.0,38773.941036,50,PS-2-CAP-AR-
138948.651266,41378.848265,50,PS-2-CAP-AR-
138948.651266,40653.356141,50,PS-2-CAP-AR-
115975.0,45900.0,50,PS-2-CAP-AR-
118762.5,116650.0,50,PS-2-CAP-AR-
115662.5,102350.0,50,PS-2-CAP-AR-
115662.5,96900.414747,50,PS-2-CAP-AR-
117962.197578,96297.184883,50,PS-2-CAP-AR-
127662.5,119050.0,50,PS-2-CAP-AR-
117962.5,95500.0,50,PS-2-CAP-AR-
115296.073501,176470.701114,110,PS-2-CAP-EME-
114875.0,158711.357587,110,PS-2-CAP-EME-
124362.5,101846.317089,50,PS-2-CAP-AR-
119025.014963,57937.5,50,PS-2-CAP-AR-
131997.234687,110044.440652,100,-M-PLUMBING K1_LAUNDRY_CAP
106734.681112,99917.148904,110,-M-PLUMBING K1_LAUNDRY_CAP
112944.69671,99917.148904,110,-M-PLUMBING K1_LAUNDRY_CAP
114508.736923,104696.267782,200,-M-PLUMBING K1_LAUNDRY_CAP
124775.621026,109275.386659,200,-M-PLUMBING K1_LAUNDRY_CAP
116619.114226,116634.889188,100,-M-PISSU BASINCLI HAT CAP (YIKAMA)
116580.139702,119759.117423,100,-M-PISSU BASINCLI HAT CAP (YIKAMA)
116580.139702,118784.117423,100,-M-PISSU BASINCLI HAT CAP (YIKAMA)
116580.139702,117809.117423,100,-M-PISSU BASINCLI HAT CAP (YIKAMA)
127075,102041.099711,200,-M-PLUMBING K1_STERILIZATION_CAP
116078.820321,113347.057399,200,-M-PLUMBING K1_STERILIZATION_CAP
190553.539892,157750.199304,110,PS-2-CAP-EME-
188750.0,154859.896957,110,PS-2-CAP-EME-
188750.0,164245.345721,110,PS-2-CAP-EME-
188750.0,173004.185966,110,PS-2-CAP-EME-
188750.0,158693.766139,110,PS-2-CAP-EME-
138048.213292,112422.421924,100,-M-PISSU BASINCLI HAT CAP (YIKAMA)
119677.092627,112622.421924,100,-M-PISSU BASINCLI HAT CAP (YIKAMA)
139407.263754,112642.736526,200,-M-PLUMBING K1_LAUNDRY_CAP
134436.640288,110307.242243,200,-M-PLUMBING K1_LAUNDRY_CAP
230594.173809,123772.754135,110,PS-2-CAP-EME-
254700.0,60802.204773,50,PS-2-CAP-AR-
252475.0,61212.500008,50,PS-2-CAP-AR-
249125.0,61212.5,50,PS-2-CAP-AR-
244975.0,61212.5,50,PS-2-CAP-AR-
260862.5,54124.999993,50,PS-2-CAP-AR-
