pX,pY
223017.989425,37780.21678
295523.449125,93016.861689
275025.0,92958.397983
110675.0,31941.861689
95396.521185,6041.861689
235525.0,3069.979993
195786.641646,37780.21678
46779.236722,72224.417223
46779.236722,97350.0
91740.986673,90624.326291
76912.555064,147615.020918
90100.840828,73649.286424
77103.098727,81509.871309
259945.299948,98650.0
253261.452641,40811.715673
93686.443369,147615.020918
41075.290748,103964.186307
148635.89566,9350.0
260095.299948,92958.397983
259945.299948,112601.696801
284625.0,92958.397983
218323.958518,37780.21678
171525.0,37780.21678
77202.301741,36549.917839
148635.89566,27628.590641
259945.299948,120201.696801
