pX,pY
118200.0,113975.0
159650.0,99425.0
94525.0,116050.0
134450.0,8375.0
115850.0,100550.0
295525.0,86775.0
218300.087085,45725.0
110675.0,37525.0
95395.0,15950.0
233350.0,37900.0
275025,86775.0
235475.0,11425.0
195825.0,45725.0
53550.0,72250.0
53550.0,97350.0
91750.0,92800.0
76875.0,139950.0
69100.0,81500.0
95950.0,73680.0
94000.0,90495.874257
255100.0,98550.0
253175.0,47825.0
93675.0,140024.885372
45862.936582,108751.834096
131775.0,110775.0
238225.0,122000.0
142500.0,9350.0
259825.0,86775.0
255100.0,112601.696801
193600.0,124050.0
199675,137275.0
178696.363053,83125.0
170746.658584,83125.0
186575.0,70200.0
178846.363053,83125.0
185350.0,87525.0
159874.999985,83125.0
167922.86461,137300.0
212200.0,90275.0
146300.0,129875.0
146250.0,119577.503468
168122.86461,137300.0
50000.0,128625.0
69150,127425.0
72650.0,131525.0
65950.0,121425.0
50000.0,117875.0
46850.0,128325.0
59550.0,60600.0
93700.0,45825.0
125500.0,45825.0
122200.0,47975.0
109750.0,118275.0
110500.0,118275.0
120100.0,124975.0
122300.0,85375.0
183450.0,74575.0
196625.0,74375.0
216625.0,76875.0
213875.0,76875.0
242900.0,10200.0
250400.0,67475.0
236350.0,65775.0
255450.0,65425.0
232300.0,81125.0
252450.0,78225.0
257750.0,77825.0
303725.0,71025.0
239350.0,135400.0
123600.050303,130875.0
93675.0,142374.885372
192100.0,107875.0
192700.0,136525.0
230410.0,91225.001203
154800.0,129875.0
138650.0,129875.0
155650.0,129875.0
133275.0,117075.0
126500.0,130875.0
233300.0,74975.0
284625.0,86775.0
125618.485046,80820.933325
165245.361112,121625.0
171525.0,45725.0
85049.968166,36550.0
142500.0,27678.590641
255100.0,120201.696801
255100.0,93108.397983
