pX,pY
191954.347294,106225.0
59662.271126,111375.0
58100.0,67425.0
58300.0,69525.0
79385.0,101840.0
80485.0,101840.0
81585.0,101840.0
82685.0,101840.0
79825.0,113875.0
157767.946379,52852.499999
158375.031044,53107.109605
175750.031399,51507.109605
172270.857359,46314.165265
175158.867446,46314.165265
180475.779864,49682.176222
207975.017844,61000.0
203350.0,61947.5
201800.0,61947.5
202575.0,61049.999032
188300.779864,69375.0
187250.0,68824.220136
185178.047449,68824.220136
181275.0,68834.220136
171575.0,75949.999999
170324.999032,75949.999999
160875.0,87031.720136
187625.0,91860.779864
204525.0,74075.779864
205674.999032,75852.890391
206924.999032,75852.890391
221950.0,77225.0
186379.2708,106750.0
137475.0,126669.220136
138150.0,43225.0
138360.779864,40925.0
130549.923363,16305.116519
128207.821798,45200.0
224775.0,52364.865514
226000.0,52175.0
229349.220136,53929.471408
236549.608348,47630.997468
245165.140908,40201.060561
254300.0,53395.779864
261558.757211,55001.75151
258789.220129,58000.0
260625.0,66170.889963
265125.0,71244.253131
267634.110037,71050.0
270725.889963,71151.052469
300036.463497,80825.889963
299827.499999,81242.946379
300069.72731,82250.031044
300529.381,82844.110035
302025.0,82825.889963
290470.619,82834.110035
283475.0,84574.112834
282207.389691,82360.0
281582.053621,80897.500001
280001.205326,80867.961528
277934.110037,83700.0
273634.110038,84825.0
257550.0,72175.0
251040.633131,65650.023597
250875.000968,63949.253131
244050.0,60575.368013
239450.0,61075.0
237975.0,59130.023597
239192.499997,62525.89138
226175.0,68825.779864
232424.220136,70350.0
224700.0,69025.0
254518.649698,85143.933983
220725.000356,48114.602648
157767.946379,53107.109605
181075.0,90295.0
120340.0,86280.0
164460.0,88769.999993
129714.308586,37525.779864
129714.308586,34875.779864
188685.745295,59364.220136
257600.0,67824.110037
159509.220136,64125.0
228755.823171,92345
226875.890565,92320.346865
226875.890565,87434.651561
59150.0,69387.499992
65764.490486,82030.461224
60049.36898,76750.0
58098.408558,88400.0
66851.365864,95281.310523
64975.0,95299.818767
67125.0,95300.0
68735.763703,97564.756869
64881.204078,94854.714082
75024.999968,98679.999949
88750.001253,98719.999949
80350.0,102850.0
83449.999968,98719.999949
107771.190009,98447.433508
80293.75,115800.0
81095.0,110597.609599
80479.187682,110585.596866
80479.187682,112526.370447
80225.721711,110945.285918
81374.278289,110945.285918
82953.619431,109549.999999
96230.0,111929.242656
78999.707772,111200.0
79200.0,112400.0
53925.0,113551.506044
65752.07694,115100
68379.714082,114299.278289
77675.0,115150.0
66379.060487,113621.703915
66379.060487,114964.690158
66704.464645,109236.276086
56950.0,137472.655337
58274.99998,135800.0
63975.000007,130900.0
66475.0,131800.0
65472.261044,130525.0
67915.105439,130525.0
67525.0,135597.5
68574.99965,135597.5
68324.99965,138000.0
67775.0,138000.0
66125.0,138375.0
69974.99965,138375.0
67425.0,138275.0
68674.99965,138275.0
75506.475553,136949.984133
75600.000001,129750.0
79275.0,132200.0
79275.0,131300.0
79475.0,129852.5
80825.0,130075.0
79575.0,131750.0
82049.273981,131750.0
75600.000001,127300.35698
