pX,pY,Size,System
118254.999985,113975.000016,110,PS-2-CAP-EME-
191991.847294,106225.0,50,PS-2-CAP-AR-
68574.99965,135562.5,50,PS-2-CAP-AR-
59627.271126,111375.0,50,PS-2-CAP-AR-
59150.0,69352.499992,50,PS-2-CAP-AR-
65764.490486,82065.461224,50,PS-2-CAP-AR-
66851.365864,95316.310523,50,PS-2-CAP-AR-
68770.763703,97564.756869,50,PS-2-CAP-AR-
79350.0,101840.0,50,PS-2-CAP-AR-
80485.0,101875.0,50,PS-2-CAP-AR-
81620.0,101840.0,50,PS-2-CAP-AR-
82720.0,101840.0,50,PS-2-CAP-AR-
79860.0,113875.0,50,PS-2-CAP-AR-
109346.408545,68403.718577,50,PS-2-CAP-AR-
158425.031044,53107.109605,110,PS-2-CAP-AR-
175700.031399,51507.109605,110,PS-2-CAP-AR-
172270.857359,46063.495801,50,PS-2-CAP-AR-
175193.867446,46314.165265,50,PS-2-CAP-AR-
180440.779864,49682.176222,50,PS-2-CAP-AR-
216152.691694,48925.0,50,PS-2-CAP-AR-
222734.220136,46649.999999,50,PS-2-CAP-AR-
220549.220136,48149.602664,50,PS-2-CAP-AR-
208025.175694,61000.0,110,PS-2-CAP-AR-
202185.0,61450.0,50,PS-2-CAP-AR-
203385.0,61947.5,50,PS-2-CAP-AR-
201835.0,61947.5,50,PS-2-CAP-AR-
202625.0,61049.999032,110,PS-2-CAP-AR-
188335.779864,69375.0,50,PS-2-CAP-AR-
187285.0,68824.220136,50,PS-2-CAP-AR-
185143.047449,68824.220136,50,PS-2-CAP-AR-
181240.0,68834.220136,50,PS-2-CAP-AR-
171614.042874,75949.999999,50,PS-2-CAP-AR-
170274.999032,75949.999999,110,PS-2-CAP-AR-
159590.0,83337.5,50,PS-2-CAP-AR-
160275.917026,83594.339909,50,PS-2-CAP-AR-
160910.0,87031.720136,50,PS-2-CAP-AR-
187590.0,91860.779864,50,PS-2-CAP-AR-
204560.0,74075.779864,50,PS-2-CAP-AR-
204375.0,75809.376386,50,PS-2-CAP-AR-
207835.0,75775.005236,50,PS-2-CAP-AR-
221950.0,77260.0,50,PS-2-CAP-AR-
223109.99998,77100.0,50,PS-2-CAP-AR-
186344.2708,106750.0,50,PS-2-CAP-AR-
105423.504274,130614.979643,50,PS-3-CAP-AR-
137440.455954,126674.851204,50,PS-3-CAP-AR-
205674.999032,75905.762941,110,PS-2-CAP-AR-
66425.807046,86767.686916,110,PS-1-CAP-IK-1-
63500.000005,70099.96939,110,PS-1-CAP-IK-1-
63499.807228,102095.368608,110,PS-1-CAP-IK-1-
46257.881861,125420.806399,110,PS-1-CAP-IK-1-
46257.881866,125220.808378,110,PS-2-CAP-EME-
63104.293907,108192.430912,110,PS-2-CAP-EME-
63104.293913,108392.428932,110,PS-1-CAP-IK-1-
76277.077902,121475.31909,110,PS-2-CAP-EME-
