StartX,StartY,EndX,EndY
117163.110343,116524.112007,117163.110343,116750.0
117163.110343,116750.0,117163.110343,117200.0
117163.110343,117200.0,117163.110343,117311.890625
117163.110343,117311.890625,117163.110343,117575.0
117163.110343,117575.0,117163.110343,117827.333641
117163.110343,117827.333641,117163.110343,118063.982478
117163.110343,118063.982478,117163.110343,120650.0
117163.110343,120650.0,117163.110343,121900.124107
117163.110343,118063.982478,117527.092821,117700.0
243030.739303,40780.0,243262.570547,40780.0
242830.739303,40580.0,243030.739303,40780.0
115625.0,86279.999998,120305.0,86280.0
115425.0,86479.999998,115625.0,86279.999998
131047.431599,38150.0,134326.15006,38150.0
134326.15006,38150.0,134940.586748,38150.0
134940.586748,38150.0,136225.0,38150.0
136225.0,38150.0,138160.779864,38150.0
138160.779864,38150.0,138474.63213,38150.0
138474.63213,38150.0,140890.95366,38150.0
95395.0,6291.858796,95395.0,15950.0
95395.0,15950.0,95395.0,16229.114449
95395.0,16339.001597,95395.0,16438.457393
95395.0,16438.457393,95395.0,19449.220136
95395.0,19449.220136,95395.0,23422.698165
95395.0,23422.698165,95395.0,24175.000968
95395.0,24175.000968,95395.0,24364.409818
95395.0,24364.409818,95395.0,24950.0
95395.0,24950.0,95395.0,25581.429952
95395.0,25581.429952,95395.0,26012.598578
95395.0,26012.598578,95395.0,27457.497407
95395.0,27457.497407,95395.0,27885.779864
95395.0,27885.779864,95395.0,29963.979931
95395.0,29963.979931,95395.0,31000.875993
95395.0,31000.875993,95395.0,31337.562919
95395.0,31337.562919,95395.0,34402.528885
95395.0,34402.528885,95395.0,34653.386069
95395.0,19449.220136,95595.0,19649.220136
94444.583946,44049.934071,101284.851276,44049.934071
101284.851276,44049.934071,101527.23712,44049.934071
101527.23712,44049.934071,101848.947067,44049.934071
101848.947067,44049.934071,102068.75476,44049.934071
102068.75476,44049.934071,102975.0,44049.934071
102975.0,44049.934071,104525.0,44049.934071
104525.0,44049.934071,104757.399848,44049.934071
110675.0,32191.861689,110675.0,37525.0
110675.0,37525.0,110675.0,40059.123715
223251.940637,37892.383917,233350.0,37892.383917
233350.0,37892.383917,233591.936064,37892.383917
233761.936064,37892.383917,235704.171089,37892.383917
