StartX,StartY,EndX,EndY
42520.856562,183384.358912,48802.182002,189311.180666
160031.819416,137324.412797,161043.462006,137324.412797
161043.462006,137324.412797,161243.462006,137324.412797
135741.22716,125054.047697,158117.306231,125054.047697
158117.306231,125054.047697,161043.462006,125054.047697
48833.694845,189350.0,49325.0,189350.0
49325.0,189350.0,49540.069551,189350.0
42639.538221,153550.0,46800.0,153550.0
46800.0,153550.0,48102.0,153550.0
48102.0,153550.0,50077.820399,153550.0
42513.687159,153841.277119,47058.725765,158670.279044
38200.0,135874.420874,38200.0,136152.053438
38200.0,136152.053438,38200.0,137447.367435
38200.0,137447.367435,38200.0,142064.907403
38598.63561,142497.917262,47045.805994,145248.040093
135541.22716,125254.047697,135541.22716,127174.999997
135541.22716,125254.047697,135741.22716,125054.047697
135541.22716,127274.999997,135541.22716,127774.999997
157908.120096,127330.059521,157908.120096,127830.059524
157908.120096,125263.233832,157908.120096,127230.059521
157908.120096,125263.233832,158117.306231,125054.047697
161243.462006,125054.047697,161243.462006,125254.047697
161243.462006,125254.047697,161243.462006,137124.412797
161043.462006,137324.412797,161243.462006,137124.412797
161043.462006,125054.047697,161243.462006,125254.047697
189750.0,47711.666486,190834.544662,46627.121824
189750,47711.666486,189750,47959.396717
189750,47959.396717,189750,48170.0
189750.0,47959.396717,191117.470248,46591.926469
191117.470248,46591.926469,191419.900256,46591.926469
38400.0,135952.053438,44767.485141,135952.053438
38200.0,136152.053438,38400.0,135952.053438
44767.485141,135952.053438,46670.215851,137854.784149
50077.820399,153550.0,50276.820399,153351.0
48102.0,153550.0,48301.0,153351.0
