pX,pY
243350.0,61375.0
243350.0,61575.0
243350.0,61775.0
243150.0,61375.0
159976.819416,137324.412797
49620.069551,189350.0
255341.624953,94378.497815
159723.791455,137324.412797
159723.791455,137574.412797
159723.791455,137824.412797
159973.791455,137574.412797
47097.703964,145266.25
47095.187471,158711.456028
77844.497391,40047.617799
77844.497391,56047.617799
145677.380056,38509.759435
167327.380056,38509.759435
167000.0,47425.0
216800,48125.0
287252.815971,87014.677878
265978.128307,87014.677878
273900.620885,87014.677878
189750,48225.0
93191.79729,56525.915794
63500.0,108224.999967
107200.0,121075.0
107200.0,121305.0
169350.0,119775.0
169350.0,119975.0
169350.0,120175.0
131100.0,47874.999978
238750.0,57825.000011
238750.0,58025.0
238940.0,57825.000011
299604.212752,66873.128874
235195.001879,131275.370876
247063.560305,14303.891121
63700.0,108400.0
67240.605573,181696.619829
2846.792644,117293.387848
115986.707136,129112.313496
63700.0,108225.000011
55411.497814,64715.739949
2846.792644,117093.387848
67440.605573,181696.619829
122150.0,44175.0
122150.0,43774.999989
130900.0,47874.999978
130700.0,47874.999978
238940.0,58025.0
199978.842932,112121.157068
63500.0,108399.999956
192400.129298,107825.129298
234995.001879,131275.370876
243150.0,61575.0
156077.380056,38509.759435
122150.0,43974.999989
130520.0,47874.999978
134100.0,72950.0
