StartX,StartY,EndX,EndY
126683.41462,44375.0,126683.41462,50305.393809
126483.41462,44175.0,126683.41462,44375.0
122212.5,44175.0,126483.41462,44175.0
102353.344735,50505.393809,103336.0364,50505.393809
103336.0364,50505.393809,125514.204066,50505.393809
125514.204066,50505.393809,125891.511759,50505.393809
125891.511759,50505.393809,126483.41462,50505.393809
126483.41462,50505.393809,126683.41462,50305.393809
102353.344735,51105.393809,102736.0364,51105.393809
102736.0364,51105.393809,103336.0364,50505.393809
125314.204066,49978.440441,125314.204066,50305.393809
125314.204066,50305.393809,125514.204066,50505.393809
125417.548801,49275.095706,125691.511759,49275.095706
125691.511759,49275.095706,125691.511759,50305.393809
125691.511759,50305.393809,125891.511759,50505.393809
