pX,pY
60800.0,176500.0
109775.0,122675.0
8025.0,123725.0
61850.0,69900.0
250136.265224,28828.082875
241187.571918,35990.913755
241787.571889,35990.913725
241787.571859,43735.021955
241187.571889,43735.021926
248614.999996,52830.1
233015.0,52900.0
252975.479661,60851.785937
261150.0,65310.0
275440.0,73406.44396
275440.0,72806.443959
285692.882882,63788.734776
288305.1,74641.25
287832.994404,74641.25
261724.292893,80290.0
253030.240802,84705.240802
249235.0,92700.0
241153.188776,109262.704942
241153.193859,109862.137051
243423.154791,123815.0
242944.986056,123815.013944
232113.734776,116771.917125
229209.292773,84730.739899
220675.0,80290.0
199346.917122,81811.265224
194539.999843,69644.899872
194540.0,70244.89997
208325.00003,73400.00003
208325.0,72800.0
220625.0,64690.0
229219.759198,60894.759198
58125.0,69300.000059
58125.00003,69900.00003
61325.0,98780.1
61324.99997,99380.09997
61600.552527,111933.803163
61600.552557,112533.803134
38762.5,123200.0
39362.49997,123200.00003
52925.0,123200.0
53524.99997,123200.00003
70344.190922,123158.751672
69744.190952,123158.751642
83885.0,123206.443959
83285.00003,123206.443989
9407.098562,120224.125571
10007.098533,120224.125541
111812.49997,126775.00003
111212.5,126775.0
61324.99997,133266.749452
61325.0,133866.749423
60318.283886,149062.5
60318.283856,148462.50003
64875.0,176500.0
64874.99997,175900.00003
238686.223498,21782.982908
239286.223469,21782.982878
233635.0,92769.9
192675.0,72275.0
294425.0,73325.0
240600.0,19500.0
241650.0,126100.0
