pX,pY,Size,System
38659.155265,123200.0,50,-M- SIPHONIC STORM WATER DN
52821.655265,123200.0,50,-M- SIPHONIC STORM WATER DN
69640.846217,123158.751642,50,-M- SIPHONIC STORM WATER DN
83988.344735,123206.443959,50,-M- SIPHONIC STORM WATER DN
61428.344735,133866.749423,50,-M- SIPHONIC STORM WATER DN
60214.939151,149062.5,56,-M- SIPHONIC STORM WATER DN
64981.255056,176500.0,50,-M- SIPHONIC STORM WATER DN
61428.344705,99380.09997,50,-M- SIPHONIC STORM WATER DN
58021.655265,69300.000059,50,-M- SIPHONIC STORM WATER DN
60214.939122,148462.50003,56,-M- SIPHONIC STORM WATER DN
61428.344705,133266.749452,50,-M- SIPHONIC STORM WATER DN
64978.344705,175900.00003,50,-M- SIPHONIC STORM WATER DN
83181.655295,123206.443989,50,-M- SIPHONIC STORM WATER DN
70447.535657,123158.751672,50,-M- SIPHONIC STORM WATER DN
53628.344705,123200.00003,50,-M- SIPHONIC STORM WATER DN
39465.844705,123200.0,50,-M- SIPHONIC STORM WATER DN
61703.897262,111933.803163,50,-M- SIPHONIC STORM WATER DN
61425.577187,98771.736726,50,-M- SIPHONIC STORM WATER DN
58021.655295,69900.00003,50,-M- SIPHONIC STORM WATER DN
10110.443267,120224.125571,50,-M- SIPHONIC STORM WATER DN
111915.844705,126775.0,50,-M- SIPHONIC STORM WATER DN
111212.5,126878.344735,50,-M- SIPHONIC STORM WATER DN
9407.098562,120120.780836,50,-M- SIPHONIC STORM WATER DN
64127.85481,176510.0,50,-M- SIPHONIC STORM WATER DN
64409.902819,175900.00003,50,-M- SIPHONIC STORM WATER DN
62595.159814,176510.0,75,-M- SIPHONIC STORM WATER DN
60696.655265,176500.0,63,-M- SIPHONIC STORM WATER DN
109775.0,124562.797491,56,-M- SIPHONIC STORM WATER DN
109671.655265,122675.0,50,-M- SIPHONIC STORM WATER DN
110125.0,126291.191503,56,-M- SIPHONIC STORM WATER DN
10007.098533,120594.269371,50,-M- SIPHONIC STORM WATER DN
