ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-3,133900.86395,47750.0,133600.86395,47750.0,900,550,HVAC-R-AHU-14-R-KNL,main,non-critical
ZON-3,136372.988817,52310.399351,134205.172101,52310.399351,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-3,135473.596396,49587.063391,135473.596396,50493.111768,900,550,HVAC-R-EXHAUST-AIR-KNL,main,non-critical
ZON-3,120299.182552,54769.488611,118131.365836,54769.488611,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-3,135657.86367,50833.495455,134907.86367,50833.495455,900,550,HVAC-E-EA-KNL,main,non-critical
ZON-1,2524.100261,126376.316595,2813.688863,126376.316595,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,134907.86367,50644.553612,135657.86367,50644.553612,900,550,HVAC-R-EXHAUST-AIR-KNL,top,non-critical
ZON-1,3625.0,125556.409732,3625.0,125272.539124,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,135475.518652,49102.206027,135475.518652,49512.252297,900,550,HVAC-R-AHU-14-R-KNL,main,non-critical
ZON-1,59323.919797,180949.097628,59607.790405,180949.097628,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,135106.710288,49587.063391,135106.710288,50493.111768,900,550,HVAC-R-EXHAUST-AIR-KNL,main,non-critical
ZON-4,116343.664389,120023.683405,116892.20619,120023.683405,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,135108.632544,49102.206027,135108.632544,49512.252297,900,550,HVAC-R-AHU-14-R-KNL,main,non-critical
ZON-4,117625.0,120843.590268,117625.0,121127.460876,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,135292.075598,48761.209781,135292.075598,48010.0,900,550,HVAC-R-AHU-14-R-KNL,main,non-critical
ZON-1,64451.316595,64449.293688,64501.316595,64399.197573,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,134858.632544,48931.707904,135725.518652,48931.707904,900,550,HVAC-R-AHU-14-R-KNL,top,non-critical
ZON-1,63409.274527,65461.742627,63125.403919,65461.742627,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,133600.86395,47775.0,135057.075598,47775.0,900,550,HVAC-R-AHU-14-R-KNL,top,non-critical
ZON-1,65062.127498,67603.084863,64386.534446,67603.084863,200,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,93925.0,44393.909465,94125.0,44193.909465,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,65324.550699,66982.465148,63399.71142,66982.465148,200,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,131682.266856,47925.0,131682.266856,47575.0,900,550,HVAC-E-WASTE-KNL,main,non-critical
ZON-1,63447.319513,67273.000634,63168.851631,67273.000634,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,133530.80725,47750.0,132980.80725,47750.0,900,550,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-1,56481.322736,68199.386897,56481.322736,67702.730285,315,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,122034.457916,44628.39557,122034.457916,43928.39557,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,55856.322736,68965.169498,55856.322736,68345.044452,315,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,121809.457916,44278.39557,119641.365983,44278.39557,900,550,HVAC-E-EF-L5-03-KNL,top,non-critical
ZON-2,297000.0,74760.822366,297000.0,75526.845599,400,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,119106.365983,48604.391998,119106.365983,44813.39557,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-2,295356.057192,75626.845599,295356.057192,74894.227711,315,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,119106.366005,52855.85297,119106.366005,51939.789971,900,550,HVAC-R-EXHAUST-AIR-KNL,main,non-critical
ZON-5,186342.502162,69431.257715,185597.610177,69431.257715,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,118356.366005,53393.35297,119856.366005,53393.35297,900,550,HVAC-E-EA-KNL,main,non-critical
ZON-5,184824.999979,70607.16872,184824.999979,70891.039329,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,119856.366005,53105.85297,118356.366005,53105.85297,900,550,HVAC-R-EXHAUST-AIR-KNL,top,non-critical
ZON-2,244301.316595,131545.14079,244301.316595,131300.610198,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,119481.366005,52239.789971,118731.366005,52239.789971,900,550,HVAC-R-EXHAUST-AIR-KNL,top,non-critical
ZON-2,243125.405589,130528.0,242841.534981,130528.0,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,119481.366005,51810.090985,118731.366005,51810.090985,900,550,HVAC-R-EXHAUST-AIR-KNL,bottom,non-critical
ZON-2,299870.14079,75976.316595,299625.610198,75976.316595,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-1,9961.940323,124724.08432,9961.940323,124504.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-2,298853.0,74800.405589,298853.0,74516.534981,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-1,15088.059677,124724.08432,15088.059677,124504.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-2,237948.683405,13854.85921,237948.683405,14099.389802,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-1,33961.940323,124731.712359,33961.940323,124454.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-2,239124.594411,14872.0,239408.465019,14872.0,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-1,39088.059677,124726.278145,39088.059677,124454.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,116125.0,129700.0,116275.0,129550.0,300,0,HVAC-E-ELC-KNL,downbranch,non-critical
ZON-1,39088.059677,121675.915681,39088.059677,124029.171912,900,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-1,33961.940323,121675.915681,33961.940323,124029.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,31088.059677,121675.915681,31088.059677,124004.171912,900,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-1,15088.059677,121675.915681,15088.059677,124079.171912,900,550,HVAC-E-EF-L5-03-KNL,downbranch,non-critical
ZON-1,9961.940323,121675.915681,9961.940323,124079.171912,900,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-1,41591.379538,116698.467733,42364.79545,116698.467733,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,41591.583933,119197.977786,42324.79545,119197.977786,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,41754.999994,120347.977786,42324.79545,120347.977786,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,28890.528973,119350.0,28890.528973,122200.0,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-1,26365.043968,118075.0,26959.211676,118075.0,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,17501.191019,125788.222748,18253.912293,125788.222748,900,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-1,18933.859023,125146.155482,18933.859023,124504.171912,900,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-1,6932.314621,124204.171912,9403.40347,124204.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,critical
ZON-1,9703.40347,124254.171912,14651.626326,124254.171912,900,550,HVAC-E-EF-L5-03-KNL,bottom,non-critical
