ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-2,261909.414148,67299.999032,262481.667802,67299.999032,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-2,235099.77953,45786.680719,235549.77953,45786.680719,150,0,HVAC-S-AHU-B1-01-S-KNL,downbranch,non-critical
ZON-2,261909.414148,64891.869246,262481.667802,64891.869246,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,120346.81687,109998.043948,122067.142774,109998.043948,250,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,264503.666103,63832.12159,262981.667802,63832.12159,300,250,HVAC-E-EF-L5-03-KNL,bottom,non-critical
ZON-1,61450.0,118268.542377,61200.0,118268.542377,99,0,HVAC-R-AHU-B1-17-R-KNL,downbranch,non-critical
ZON-2,264328.666103,67267.87841,262981.667802,67267.87841,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113688.35697,145761.790493,113002.26234,145761.790493,160,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,281125.0,66335.488716,281125.0,66872.2744,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113757.484457,143602.92677,111388.057613,143602.92677,160,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,280055.0,66335.488716,280055.0,66832.2744,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113757.484457,148339.430612,113027.26234,148339.430612,160,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,278109.686069,66682.2744,278109.686069,66252.928569,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113757.484457,148028.188402,111543.210926,148028.188402,160,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,282725.0,66335.488716,282725.0,66682.2744,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113757.484457,151876.193176,113097.26194,151876.193176,160,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,283745.0,66335.488716,283745.0,66832.2744,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113757.484457,151564.950966,111568.210926,151564.950966,160,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,285050.84189,66335.488716,285050.84189,66872.2744,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,114078.07526,156090.949502,113122.26234,156090.949502,160,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,276705.000968,78658.710382,276705.000968,78481.95583,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113687.610212,153230.167478,111618.210926,153230.167478,160,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,277800.000968,78590.333106,277650.000968,78590.333106,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,114522.924508,161869.175197,113034.76234,161869.175197,125,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,278745.000968,78658.710382,278745.000968,77775.0,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,114186.313995,168350.245675,113097.26234,168350.245675,200,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,279765.000968,78658.710382,279765.000968,77775.0,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113303.605287,165190.044743,111713.210926,165190.044743,200,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,280845.000968,78658.710382,280845.000968,77725.0,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,114522.924508,171880.00944,113147.26194,171880.00944,125,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,281109.992338,75335.488716,281109.992338,75874.072905,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,113539.092679,171532.610655,111693.210926,171532.610655,160,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,280004.992338,75335.488716,280004.992338,75574.072905,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,114522.924508,174627.794677,113272.26234,174627.794677,125,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,278855.0,75335.488716,278855.0,75964.072905,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
