StartX,StartY,EndX,EndY
128724.539484,114800.0,128862.979756,114800.0
128724.539484,114762.5,128724.539484,114800.0
128724.539484,114800.0,128724.539484,114837.5
127525.401467,106149.16538,127525.401467,106242.605652
127525.401467,106242.605652,127605.401467,106322.605652
127487.901467,106149.16538,127525.401467,106149.16538
127525.401467,106149.16538,127562.901467,106149.16538
128741.071382,93250.0,128879.511654,93250.0
128741.071382,93212.5,128741.071382,93250.0
128741.071382,93250.0,128741.071382,93287.5
113426.559728,90300.0,113565.0,90300.0
113426.559728,90262.5,113426.559728,90300.0
113426.559728,90300.0,113426.559728,90337.5
116970.472708,96625.0,117108.91298,96625.0
116970.472708,96587.5,116970.472708,96625.0
116970.472708,96625.0,116970.472708,96662.5
115767.5,92011.167606,115860.940272,92011.167606
115860.940272,91973.667606,115860.940272,92011.167606
115860.940272,92011.167606,115860.940272,92048.667606
115687.5,91614.34086,115687.5,91931.167606
115687.5,91931.167606,115767.5,92011.167606
117020.82164,89500.0,117254.459601,89500.0
117020.82164,89462.5,117020.82164,89500.0
117020.82164,89500.0,117020.82164,89537.5
115765.0,83151.767915,115857.782335,83151.767915
115857.782335,83114.267915,115857.782335,83151.767915
115857.782335,83151.767915,115857.782335,83189.267915
116986.506002,107799.674686,117124.946274,107799.674686
116986.506002,107762.174686,116986.506002,107799.674686
116986.506002,107799.674686,116986.506002,107837.174686
115724.405894,110298.549685,115862.846166,110298.549685
115862.846166,110261.049685,115862.846166,110298.549685
115862.846166,110298.549685,115862.846166,110336.049685
115720.895103,112809.670693,115859.335375,112809.670693
115859.335375,112772.170693,115859.335375,112809.670693
115859.335375,112809.670693,115859.335375,112847.170693
113426.559728,108903.883381,113565.0,108903.883381
113426.559728,108866.383381,113426.559728,108903.883381
113426.559728,108903.883381,113426.559728,108941.383381
111125.0,72654.69047,111125.0,72793.130742
111087.5,72654.69047,111125.0,72654.69047
111125.0,72654.69047,111162.5,72654.69047
103135.179519,75648.390204,103273.619791,75648.390204
103273.619791,75610.890204,103273.619791,75648.390204
103273.619791,75648.390204,103273.619791,75685.890204
102901.559728,69975.0,102995.0,69975.0
102901.559728,69937.5,102901.559728,69975.0
102901.559728,69975.0,102901.559728,70012.5
103155.0,69975.0,103248.440272,69975.0
103075.0,70055.0,103155.0,69975.0
103248.440272,69937.5,103248.440272,69975.0
103248.440272,69975.0,103248.440272,70012.5
122964.745018,74700.0,123103.185289,74700.0
123103.185289,74662.5,123103.185289,74700.0
123103.185289,74700.0,123103.185289,74737.5
112325.0,67094.351447,112325.0,67187.791718
112287.5,67187.791718,112325.0,67187.791718
