StartX,StartY,EndX,EndY
32279.96939,125319.999995,32462.467411,125320.000001
40279.96939,125319.999995,40362.467411,125319.999998
65526.329238,160099.999995,65608.827259,160100.0
24425.0,118916.17274,24425.000005,118998.670761
171.86261,126350.663102,171.86261,129902.669564
171.86261,126350.663102,599.96939,126350.663102
599.96939,125487.500005,599.96939,126086.871178
599.96939,126201.14434,599.96939,126350.663102
8279.96939,129269.999995,8462.467411,129269.999984
16279.96939,129269.999995,16362.467411,129269.999998
16362.467411,129269.999998,16462.467411,129270.000001
16279.96939,129269.999995,16362.467411,129269.999998
24279.96939,121080.000005,24362.467411,121080.000002
24224.96939,119954.118001,24224.96939,121025.000005
24068.075344,119954.118001,24224.96939,119954.118001
24068.075344,119053.670761,24068.075344,119954.118001
24068.075344,119053.670761,24370.000005,119053.670761
16279.96939,121080.000005,16362.467411,121080.000002
262130.0,70680.000004,262170.03061,70680.000005
256137.118134,74575.808378,256137.118129,74665.806399
226117.922093,70930.321069,226117.922098,71020.31909
270137.5,74919.999996,270170.03061,74919.999995
278025.0,68516.17274,278024.999995,68598.670761
286137.5,70680.000004,286170.03061,70680.000005
294137.532589,70680.000004,294170.03061,70680.000005
294137.532589,70680.000004,294170.03061,70680.000005
270130.0,70680.000004,270170.03061,70680.000005
270130.0,70680.000004,270170.03061,70680.000005
269980.0,70847.500008,270170.03061,70847.500014
262130.0,70680.000004,262170.03061,70680.000005
270137.5,74919.999996,270170.03061,74919.999995
294137.532589,74919.999996,294170.03061,74919.999995
294137.532589,74919.999996,294170.03061,74919.999995
293987.532589,70847.499999,294170.03061,70847.500005
293980.032589,74740.0,294170.03061,74740.0
285987.5,70860.0,286170.03061,70860.000005
277820.0,68508.67274,277819.999995,68598.670761
220079.96939,74919.999995,220262.467411,74920.000001
212079.96939,74919.999995,212262.467411,74920.000001
188467.467411,74919.999991,188570.03061,74919.999995
263375.0,79885.00001,263375.0,80188.284116
263130.16955,80223.284116,263375.0,80223.284116
268061.715903,79925.782663,268415.00001,79925.782663
268026.715903,79925.782663,268026.715903,80170.613113
277962.218363,77900.807046,278024.747576,77900.807046
277962.218363,77733.307046,278032.247576,77733.307046
24425.252424,128300.807046,24487.781637,128300.807046
56224.192954,160037.218363,56224.192954,160099.747576
52685.804129,139984.713185,53096.540099,139984.713185
53131.540099,139739.882736,53131.540099,139984.713185
36899.979164,134213.764299,36899.979164,134532.937745
36655.148715,134567.937745,36899.979164,134567.937745
33500.0,135619.010524,33500.0,135938.18397
33255.16955,135973.18397,33500.0,135973.18397
49900.499721,147622.431634,50311.235691,147622.431634
49865.499721,147377.601184,49865.499721,147622.431634
49144.454704,151028.307262,49505.190674,151028.307262
49109.454704,151028.307262,49109.454704,151273.137711
239400.706093,57847.430912,239400.706087,57937.428932
243388.044521,64802.002802,243388.044516,64892.000823
220079.96939,74919.999995,220079.96939,74919.999995
220079.96939,74919.999995,220262.467411,74920.000001
196079.96939,74919.999995,196262.467411,74920.000006
196079.96939,74919.999995,196262.467411,74920.000001
204225.000003,77001.329239,204225.0,77083.82726
239005.000005,43754.96939,239005.000002,43837.467411
243244.999995,43754.96939,243245.000001,43937.467411
239005.000005,19754.96939,239005.000002,19837.467411
243244.999995,51754.96939,243245.000001,51937.467411
245322.818991,35897.606336,245405.317012,35897.606331
243244.999995,19754.96939,243245.000001,19937.467411
270087.532589,74919.999998,270137.5,74919.999996
270137.5,74919.999996,270170.03061,74919.999995
269987.532589,70680.0,270087.532589,70680.0
262085.97687,74919.999998,262170.03061,74919.999995
286137.532589,74919.999997,286170.03061,74919.999995
285980.032589,74740.0,286170.03061,74740.0
392.96939,125487.500005,599.96939,125487.500005
16279.96939,121080.000005,16362.467411,121080.000002
40279.96939,121080.000005,40462.467411,121079.999999
46312.881866,124975.808378,46312.881871,125065.806399
59061.955479,115202.002802,59061.955484,115292.000823
63049.293907,108247.430912,63049.293913,108337.428932
76332.077907,121330.321069,76332.077902,121420.31909
59449.071608,138212.088491,59539.069628,138212.088486
58912.051229,132732.0,58912.051224,132821.998021
68688.911483,130347.246947,68771.411483,130347.246947
77281.17697,116961.133033,77281.176979,117123.631054
59204.999999,176062.532589,59205.000005,176245.03061
63445.000001,176062.532589,63444.999995,176245.03061
63445.000001,168062.532589,63444.999995,168245.03061
63445.000001,144062.532589,63444.999995,144245.03061
59204.999999,152062.532589,59205.000005,152245.03061
63445.000001,152062.532589,63444.999995,152245.03061
82287.532589,125319.999998,82370.03061,125319.999995
106287.532589,125319.999998,106370.03061,125319.999995
113879.96939,125319.999995,113962.467411,125319.999992
90287.532589,125319.999998,90370.03061,125319.999995
90187.532589,121080.0,90287.532589,121080.0
98224.999993,127401.329236,98224.999998,127483.827257
63444.999995,94154.96939,63445.000001,94337.467411
59205.000005,94154.96939,59204.999999,94337.467411
57044.682989,86300.098653,57127.18101,86300.098658
59205.000005,78154.96939,59204.999999,78337.467411
292840.786747,30900.775686,292840.786747,31738.281865
292840.786747,31738.281865,292840.786747,36543.813342
292840.786747,36543.813342,292840.786747,38573.542648
277123.335948,34094.82224,277939.766573,34094.82224
277123.335948,34094.82224,277123.335948,36602.148071
292540.786747,31438.281865,292840.786747,31738.281865
275992.205813,36543.813342,275992.205813,38573.542648
275692.205813,36243.813342,275992.205813,36543.813342
292540.786747,36243.813342,292840.786747,36543.813342
277939.766573,34094.82224,278139.766573,33894.82224
259641.411117,34094.82224,260457.841742,34094.82224
259641.411117,34094.82224,259641.411117,36602.148071
260457.841742,34094.82224,260657.841742,33894.82224
248446.489753,39338.897256,248446.489753,39610.938997
248201.659304,39645.938997,248446.489753,39645.938997
54003.510248,89593.290922,54003.510248,89781.194006
54003.510248,89816.194006,54248.340697,89816.194006
122195.078545,44421.2901,122195.078538,44611.28812
139795.0,52125.779864,140248.284107,52125.779864
140283.284107,52125.779864,140283.284107,52370.610314
126786.715914,40299.692368,127355.00002,40299.692368
126751.715914,40054.861919,126751.715914,40299.692368
106155.363182,53963.784061,106155.363182,54417.068167
105910.532732,54452.068167,106155.363182,54452.068167
95880.363182,53870.0,95880.363182,54323.284107
95635.532732,54358.284107,95880.363182,54358.284107
87444.26403,27775.0,87855.0,27775.0
87409.26403,27530.16955,87409.26403,27775.0
108347.893826,45035.0,108347.893826,45414.396159
108103.063376,45449.396159,108347.893826,45449.396159
91454.26403,38425.0,91980.0,38425.0
91419.26403,38180.16955,91419.26403,38425.0
126991.681298,4016.385331,127402.417268,4016.385331
126956.681298,4016.385331,126956.681298,4261.215781
138510.666444,40300.0,138829.83989,40300.0
138864.83989,40055.16955,138864.83989,40300.0
134649.220136,14831.562875,134649.220136,15146.654286
134404.389686,14796.562875,134649.220136,14796.562875
89230.40573,53870.0,89230.40573,54323.284107
88985.57528,54358.284107,89230.40573,54358.284107
129573.206767,46006.221984,129763.204788,46006.221991
94225.863512,37800.0,94225.863512,38012.867985
94225.863512,38047.867985,94470.693961,38047.867985
94225.863512,39150.0,94225.863512,39362.867985
94225.863512,39397.867985,94470.693961,39397.867985
94470.693961,38047.867985,94470.693961,39397.867985
94470.693961,39397.867985,94470.693961,43022.864896
94470.693961,43022.864896,100722.69588,43022.864896
100722.69588,43022.864896,108125.455468,43022.864896
100722.69588,43022.864896,100722.69588,45400.68089
100722.69588,45400.68089,100722.69588,46777.503484
108125.455468,43022.864896,108125.455468,43560.203271
101569.481915,44862.499944,101825.0,44862.499944
101534.481915,44862.499944,101534.481915,45400.68089
100722.69588,45400.68089,101534.481915,45400.68089
100722.69588,46777.503484,101745.0,46777.503484
134474.95579,39200.0,134474.95579,39455.518085
132502.448679,39490.518085,134474.95579,39490.518085
132502.448679,39490.518085,132502.448679,43003.784869
129518.206767,43003.784869,132502.448679,43003.784869
129518.206767,43003.784869,129518.206767,45951.221984
129930.0,17420.0,129930.0,17545.05525
129120.0,17420.0,129930.0,17420.0
108370.285918,43595.203271,108370.285918,43850.721355
108125.455468,43560.203271,108370.285918,43560.203271
173025.0,56319.22586,173025.0,56495.0
242910.930372,87812.088486,243000.928392,87812.088491
243537.948771,82332.0,243537.948776,82421.998021
239005.000002,101762.532589,239005.000005,101845.03061
234478.912543,89150.184261,234551.847103,89150.184261
234551.847103,89112.684261,234551.847103,89150.184261
234551.847103,89150.184261,234551.847103,89187.684261
234398.912543,88106.402781,234398.912543,88451.183457
234398.912543,88451.183457,234398.912543,89070.184261
234398.912543,89070.184261,234478.912543,89150.184261
248530.028716,86450.0,248623.468987,86450.0
248530.028716,86412.5,248530.028716,86450.0
