pX,pY
230644.590618,57792.430912
221313.476437,75425.58047
238499.41953,92634.130358
238449.41953,119034.345333
243772.425803,117300.0
243750.58047,119034.345333
243650.58047,115003.522967
244141.942295,133787.03061
234003.154667,110219.811941
194890.754667,75425.58047
196625.0,70199.740077
198910.84927,70274.41953
186828.154667,70174.41953
238477.574197,28300.0
238599.41953,30549.956403
263428.24737,75525.58047
246996.845333,64747.002802
238631.686227,79625.070643
229820.563584,65965.868421
225168.963611,65674.682201
245725.0,84741.435481
255835.592522,83724.856708
262223.234699,77182.387144
238499.41953,21473.442507
236815.280995,20300.0
238499.41953,18522.552025
236815.280995,19700.0
238499.41953,26565.654667
236715.280995,27700.0
243750.58047,45461.845333
245434.719005,44300.0
243750.58047,42538.154667
245434.719005,43700.0
238499.41953,45434.863572
236815.280995,44300.0
238499.41953,42565.654667
236815.280995,43700.0
238399.41953,50540.654667
236778.154667,51701.765301
213759.345333,70174.41953
212625.0,68440.328311
210890.654667,70174.41953
212025.0,68440.328311
192807.282827,70274.41953
196025.0,68366.197632
189784.345333,70174.41953
188625.0,68490.280995
189784.345333,75575.580478
188725.032589,77159.671689
195924.967411,77159.671689
238499.41953,95034.345333
236815.280995,93900.0
243800.58047,95059.345333
245458.348072,93950.0
236823.708985,117898.234699
245434.719005,117901.819077
238499.41953,124088.154667
236815.280995,125250.0
238499.41953,127111.845333
236815.280995,125950.0
62644.044957,138212.088486
60985.463997,152000.032589
16849.462127,119353.737455
61668.228878,94399.967411
66233.271084,108192.430912
65171.845333,167675.950392
243750.58047,124088.154667
245434.719005,125250.0
243750.58047,127111.845333
245434.719005,125950.0
243750.58047,100088.154667
245434.719005,101250.0
243750.58047,103111.845333
245434.719005,101950.0
238499.41953,100088.154667
236815.280995,101250.0
238499.41953,103111.845333
236815.280995,101950.0
235385.918638,106098.927878
256137.118134,65053.154667
226380.304635,78114.97958
213759.345333,75425.58047
212625.0,77159.671689
210890.654667,75425.58047
212025.0,77159.671689
218840.654667,70083.17915
219975.0,68440.328311
218890.654667,75425.58047
220025.0,77159.671689
203705.188059,79921.845334
207826.072122,78539.081363
260936.523563,70174.41953
263359.345333,70174.41953
262225.0,68440.328311
268490.654667,70174.41953
269625.0,68440.328311
271359.345333,70174.41953
270225.0,68440.328311
278544.811941,65678.154666
274423.927878,67060.918637
287359.345333,70124.41953
286223.234699,68498.708985
292490.654667,70174.41953
293625.0,68440.328311
295359.345333,70174.41953
294225.0,68440.328311
302112.03061,75816.942295
285625.0,77531.510243
268484.523274,75425.58047
269618.868607,77159.671689
271353.21394,75425.58047
270218.868607,77159.671689
243750.58047,52988.476437
243750.58047,50565.654667
245484.671689,51700.0
248243.335087,35377.794389
246860.571116,39498.678453
243800.58047,26565.654667
245426.291015,27701.765301
238108.057705,11812.96939
243750.58047,21461.845333
245434.719005,20300.0
243750.58047,18538.154667
245434.719005,19700.0
72479.436416,114088.266448
57478.154667,78216.075536
56817.952999,114183.513462
58625.679967,114139.092221
236099.722308,30439.718726
249121.887882,84680.106867
233823.588517,81520.803939
