pX,pY,Size,System
239390.482038,57738.38955,110,PS-2-CAP-EME-
239345.706087,57992.428932,110,PS-1-CAP-IK-1-
234133.515521,59120.0,50,PS-2-CAP-AR-
220022.802413,75700.0,110,PS-2-CAP-AR-
220324.967411,75427.028276,110,PS-2-CAP-AR-
219969.96939,74919.999995,110,PS-1-CAP-IK-1-
220324.967411,74857.5,110,PS-2-CAP-EME-
212627.197587,75700.0,110,PS-2-CAP-AR-
212022.802413,75700.0,110,PS-2-CAP-AR-
212325.0,75365.780934,110,PS-2-CAP-AR-
211969.96939,74919.999995,110,PS-1-CAP-IK-1-
212324.967411,74857.5,110,PS-2-CAP-EME-
212627.197587,69900.0,110,PS-2-CAP-AR-
212022.802413,69900.0,110,PS-2-CAP-AR-
212325.0,70171.627629,110,PS-2-CAP-AR-
211969.96939,70680.000005,110,PS-1-CAP-IK-1-
212324.967411,70742.5,110,PS-2-CAP-EME-
196022.802413,75700.0,110,PS-2-CAP-AR-
196325.0,75534.874915,110,PS-2-CAP-AR-
195969.96939,74919.999995,110,PS-1-CAP-IK-1-
196306.539383,74979.721502,110,PS-2-CAP-AR-
196324.967411,74857.5,110,PS-2-CAP-EME-
204280.000005,76946.329239,110,PS-1-CAP-IK-1-
204287.5,77146.32726,110,PS-2-CAP-EME-
204162.752424,67761.692954,110,PS-2-CAP-EME-
204342.781637,67644.192954,110,PS-1-CAP-IK-1-
196611.148849,69975.0,110,PS-2-CAP-AR-
197699.999986,69912.5,50,PS-2-CAP-AR-
198250.000395,70114.522214,50,PS-2-CAP-AR-
198550.000395,69823.158193,110,PS-2-CAP-AR-
195969.96939,70680.000005,110,PS-1-CAP-IK-1-
196324.967411,70742.5,110,PS-2-CAP-EME-
196325.0,70347.214016,110,PS-2-CAP-AR-
188627.197587,75700.0,110,PS-2-CAP-AR-
188425.032589,75302.565818,110,PS-2-CAP-AR-
188627.197587,69900.0,110,PS-2-CAP-AR-
188022.802413,69900.0,110,PS-2-CAP-AR-
188325.0,70173.97567,110,PS-2-CAP-AR-
187969.96939,70680.000005,110,PS-1-CAP-IK-1-
188324.967411,70742.5,110,PS-2-CAP-EME-
219860.929711,69900.0,110,PS-2-CAP-AR-
220163.094709,70376.673885,110,PS-2-CAP-AR-
219969.96939,70680.000005,110,PS-1-CAP-IK-1-
220324.967411,70742.5,110,PS-2-CAP-EME-
192574.061471,65950.0,50,PS-2-CAP-AR-
188680.03061,74919.999995,110,PS-1-CAP-IK-1-
188425.032589,74857.5,110,PS-2-CAP-EME-
238225.0,44302.197587,110,PS-2-CAP-AR-
238522.160836,44000.0,110,PS-2-CAP-AR-
239005.000005,43644.96939,110,PS-1-CAP-IK-1-
239067.5,43999.967411,110,PS-2-CAP-EME-
238225.0,43697.802413,110,PS-2-CAP-AR-
244025.0,44302.197587,110,PS-2-CAP-AR-
243754.324114,44000.0,110,PS-2-CAP-AR-
243244.999995,43644.96939,110,PS-1-CAP-IK-1-
243182.5,43999.967411,110,PS-2-CAP-EME-
244025.0,43697.802413,110,PS-2-CAP-AR-
238225.0,20302.197587,110,PS-2-CAP-AR-
238563.174431,20000.0,110,PS-2-CAP-AR-
239005.000005,19644.96939,110,PS-1-CAP-IK-1-
239067.5,19999.967411,110,PS-2-CAP-EME-
238225.0,19697.802413,110,PS-2-CAP-AR-
244025.0,20302.197587,110,PS-2-CAP-AR-
243711.298397,20000.0,110,PS-2-CAP-AR-
243244.999995,19644.96939,110,PS-1-CAP-IK-1-
243182.5,19999.367411,110,PS-2-CAP-EME-
244025.0,19697.802413,110,PS-2-CAP-AR-
243244.999995,51644.96939,110,PS-1-CAP-IK-1-
243182.5,51999.967411,110,PS-2-CAP-EME-
238225.0,51635.335002,110,PS-2-CAP-AR-
238679.332638,51837.5,110,PS-2-CAP-AR-
239005.000005,51644.96939,110,PS-1-CAP-IK-1-
238942.500033,51999.967411,110,PS-2-CAP-EME-
238892.499995,11812.96939,110,PS-1-CAP-IK-1-
238312.29998,11580.501979,110,PS-2-CAP-AR-
238617.499995,11812.96939,110,PS-2-CAP-EME-
243244.999995,27644.96939,110,PS-1-CAP-IK-1-
243182.5,27999.967411,110,PS-2-CAP-EME-
244025.0,27697.802413,110,PS-2-CAP-AR-
239005.000005,27644.96939,110,PS-1-CAP-IK-1-
239067.5,27999.967411,110,PS-2-CAP-EME-
243636.968193,27999.967411,110,PS-2-CAP-AR-
233769.641241,36076.479557,50,PS-2-CAP-AR-
236024.192954,35775.252424,110,PS-2-CAP-EME-
235969.192954,36017.781637,110,PS-1-CAP-IK-1-
235747.699042,30927.5,50,PS-2-CAP-AR-
245271.329238,35955.000005,110,PS-1-CAP-IK-1-
245533.827261,35897.507678,110,PS-2-CAP-EME-
269622.802413,75700.0,110,PS-2-CAP-AR-
270227.197587,75700.0,110,PS-2-CAP-AR-
269925.0,75350.810673,110,PS-2-CAP-AR-
270280.03061,74919.999995,110,PS-1-CAP-IK-1-
262288.439441,75700.0,110,PS-2-CAP-AR-
262086.274443,75455.055281,110,PS-2-CAP-AR-
262280.03061,74919.999995,110,PS-1-CAP-IK-1-
256082.118129,74720.806399,110,PS-1-CAP-IK-1-
256082.118134,74520.808378,110,PS-2-CAP-EME-
262280.03061,70680.000005,110,PS-1-CAP-IK-1-
