pX,pY
160675.0,68352.707356
159091.442699,68602.707356
235075.0,123514.873776
235075.0,123764.873776
146722.913061,62850.0
132775.0,68487.458994
146422.913061,64378.765085
201925.0,105066.290893
201650.0,138014.873776
201650.0,138264.873776
165260.227237,143275.0
165010.227237,143275.0
235075.0,108850.26904
191589.545083,157750.199304
132775.0,86738.508064
201925.0,123516.290893
118200.000015,113975.000016
171333.867255,97289.859754
119400.000015,111100.000016
193600.000015,124050.000016
193050.000015,136675.000016
199675,137275.0
186575.0,70200.0
170746.658584,83125.0
185350.0,87525.0
159875.0,83125.000016
160675.0,87038.508064
160675.0,86738.508064
212200.0,90275.0
167922.86461,137300.0
168122.86461,137300.0
126500.0,130875.0
133800.000015,98575.000015
178696.363053,83125.0
178846.363053,83125.0
159650.0,99425.0
146300.0,129875.0
146250.000015,119577.503484
154800.0,129875.0
138650.0,129875.0
155650.000015,129875.000016
238225.00002,122000.000021
134471.828403,29022.095082
142176.072627,34716.826451
122927.5,64375.0
134898.305744,64236.977844
125850.0,72900.0
125618.485046,80820.933325
123800.848433,90325.000016
126740.308157,97409.833622
134100.0,97225.0
165245.361127,121625.000016
65989.099365,105510.028419
159625.0,69200.0
129000,110974.999752
125799.99963,110975.000331
120920.0,110974.999767
164318.858197,127716.390857
193050.000015,99425.000016
193075.0,100694.254652
179400.000015,107876.318887
166952.503484,113325.000016
167087.855056,102825.0
