pX,pY
64287.813034,72475.582777
63471.350054,72224.417223
60226.042554,62365.533856
60226.042554,86415.90709
60526.042554,87796.854069
60226.042554,102507.239985
60547.887887,97325.0
60247.887887,97025.0
60247.887887,97625.0
75080.73889,99099.571849
48598.735464,125242.653711
60146.544398,136178.154672
73317.214038,118973.718251
77694.583813,112564.636267
62364.155092,108170.585578
80328.154667,100375.0
78977.862438,109342.830777
97797.231208,113794.916481
91875.678526,116296.845331
107010.57751,98494.661805
115309.884161,100550.000005
115331.729489,90645.874257
130825.586266,27778.590641
130235.760495,23474.923292
130167.425612,9350.0
95395.0,34675.231402
110675.0,44388.135433
104779.245181,44049.934071
125618.485046,83535.710236
146422.913061,58286.014916
118643.519687,73490.925011
117184.955676,122100.124107
117163.110343,116502.266674
111083.554841,122078.278774
106103.154667,122100.124107
235225.0,30404.966215
240012.500571,28021.812744
244321.845333,25276.102105
239977.304919,44021.812744
242830.739303,40801.845333
247821.845333,38121.711674
234488.28027,38192.383917
252961.452641,74307.900712
270747.735296,73886.786024
261853.187256,73586.786024
256158.963468,74286.055379
286092.880654,73586.786024
301947.939101,75806.613004
302071.877922,76106.613004
274727.81409,73564.940691
275024.999999,73564.940691
295526.263215,73413.697998
60124.699065,137479.749206
90185.274789,122024.99587
90146.877922,124397.383638
243985.410361,61930.806566
191475.0,106167.42641
191453.154667,124050.000016
180483.852372,48504.692894
166425.0,59753.503373
208646.845333,58920.246202
229798.718251,68139.676564
234466.434937,70371.845333
239282.330314,58872.678841
170746.658584,75456.835722
80487.36846,129830.654667
80868.954698,137479.749206
73295.368704,122024.99587
76875.0,122003.150536
77178.207169,124375.538305
212303.122078,71786.632446
220303.122078,72086.632446
224869.369952,63305.394978
225169.369952,63005.394978
224847.524618,71808.477779
225147.524618,78062.723437
195638.876903,58942.091535
203961.009605,71786.632446
191233.375931,70200.0
191167.839931,71808.477779
176739.66706,70200.0
186041.457288,95371.845333
186063.302621,87525.0
159875.0,91829.803082
171628.484223,69200.0
241913.531018,102449.996322
241869.476954,98650.0
242153.154667,112301.696802
241853.154667,112601.696802
242175.0,106049.963086
241875.0,106195.539653
241875.0,117522.496896
242175.0,125375.95129
240274.999999,133551.628516
240321.845328,122000.0
234193.03336,79925.401614
219471.845333,90275.0
129942.049736,132253.886169
127971.845348,132003.886169
153858.374411,119577.503484
145876.013211,136091.41014
145854.167878,129875.0
145876.013211,126941.186817
162876.32041,136577.680945
86210.72347,137851.367065
84228.154667,137551.367065
93225.0,137829.521731
93525.0,138129.521731
111105.400174,137851.367065
111405.400174,138151.367065
110783.554841,137573.212398
126500.0,131721.120362
111383.554841,132232.040836
126596.039795,44005.134443
210720.517648,52788.560921
153245.266957,129875.0
139095.832122,129875.0
139073.986789,126585.224504
139073.986789,136125.804364
250684.001491,65899.345333
260095.299947,50551.370023
277716.223873,73286.786024
284624.999999,73264.940691
276379.128357,84143.467827
278364.176026,86005.235427
294096.877922,73286.786024
241924.999999,85669.190418
171471.893814,59028.154667
108326.048492,44366.2901
159875.0,77927.374803
170746.658584,83980.538619
130744.619419,59736.766766
122927.499994,66371.072569
60247.887887,66910.673471
57679.226781,66888.828138
64265.299805,82052.15088
58329.797647,78421.812744
105436.202986,131703.886169
154450.000048,135432.681265
162626.32041,136828.027787
162648.165743,133946.94605
186052.799394,127729.715973
225103.154983,88831.633988
125850.0,75329.453062
130328.826219,89772.157771
130350.671553,83480.752025
110900.0,64172.520819
170646.845333,121891.608638
165245.361127,121913.453972
110783.554841,128160.943333
159487.374803,59731.65804
172169.347872,128975.685139
170321.845333,137550.346841
162904.21516,134553.155022
166583.666151,137300.0
166605.511484,136555.835612
187427.554907,58920.246202
218626.193775,63027.240311
218326.193775,63327.240311
225896.845333,48719.646035
286802.357991,67066.771841
130847.431599,47827.359862
171525.0,51340.201768
94266.42928,36249.934071
94244.583946,44349.277694
233993.03336,80638.666512
233971.188074,85235.477327
241671.031018,101471.877923
241653.154666,93108.397984
241875.0,117749.325159
241853.154667,120201.696802
241875.0,133632.772886
130002.182239,75307.607729
113781.09524,73790.925011
